fold,epoch,model_variant,estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_grad_score_norm
1,1,pg,central,0.026969339402223177,0.37213476544076746,0.03026674569330432,0.00015942633449516177,0.01895299710502679,0.29709012975746935,-0.2626386742022904,-0.003456832748435607,0.006878382876906967,0.00042870331394210967,0.009596349774669348,0.04679890489205718,0.006878382943052036,7.171394754539836,0.017424882700045902,0.6674636701742808,0.018133356235921383,0.0002775772394064309,0.015891120148201782,0.1303306519985199,-0.1133286605278651,-0.0009860507537572023,0.001711323265529548,0.00031772953904389095,0.0036429722094908357,0.03576389094814658,0.001711323275230825,3.7136844396591187
1,2,pg,central,0.015651813538914375,0.728358740156347,0.01783658174628561,0.00016307960288227977,0.011293507424521853,0.3479552539912137,-0.3670812113718553,-0.0023478477894307366,0.00887649967758493,0.0004718382075555961,0.011748452903702855,0.0509334419938651,0.008876499762250618,8.493074763904918,0.01353571688135465,0.7091195980707804,0.014197080861777067,0.00021057075794791066,0.00862296267102162,0.12707472840944925,-0.13445749878883362,-0.0008719344420266376,0.0016906147842140247,0.00029025001034218195,0.0037878530856687576,0.04045138989264766,0.0016906147696621094,3.715552647908529
1,3,pg,central,0.00893574533984065,0.6753569651733745,0.014955819584429264,0.0004989341605504582,0.02217544060708447,0.38373417068611493,-0.33500023863532324,-0.006519008398754522,0.011466944584919309,0.0004903735600898719,0.014614411978982389,0.05882203701714223,0.011466944923582063,10.308789643374356,0.01072364067658782,0.6227796177069346,0.012465503842880329,0.00026503199284396334,0.034352948578695454,0.18739707271258035,-0.10485838105281194,-0.002006895209585006,0.0042914689450602355,0.0003627914435734662,0.00713308178819716,0.05121527798473835,0.004291469022670451,5.577970365683238
1,4,pg,central,0.011181508931754664,0.6302802616899664,0.013948022557253187,0.0006586557558996085,0.04057406456294385,0.4160723943601955,-0.3300446657971902,-0.003425169296943667,0.012220119729384103,0.0005184128994270312,0.014948460760272363,0.05136465107683431,0.012220119919881901,8.677536595951427,0.010034711876263222,0.6130131582419077,0.011951705440878868,0.00016914360959200772,0.04807372701664766,0.21892152229944864,-0.09502579023440678,-0.002086137237104898,0.0053615830062578125,0.0005051785798665757,0.008429993487273654,0.051475695023934044,0.005361582986855258,6.630322098731995
1,5,pg,central,0.010209399042651057,0.6287982572208751,0.013470612424002453,0.0006890456401720257,0.04614805616438389,0.4415974684736945,-0.34074787389148364,-0.003950259021208199,0.015067132359201258,0.0005087323648198931,0.018111387500539422,0.06021712656894868,0.015067132412117313,9.174162127754904,0.007820062649746736,0.6128615935643514,0.011644217340896526,0.00018491139824542793,0.039573878360291324,0.21797379354635874,-0.11136487623055775,-0.004009066130189846,0.006148623613019784,0.00047671684296801686,0.009896290178100267,0.06354166722546022,0.006148623496604462,8.899622162183126
1,6,pg,central,0.009951590264046734,0.6263309094038877,0.013279914390295744,0.0005331680259711324,0.041170726022259754,0.4765844277360223,-0.3678503009406003,-0.0038614921531089667,0.013541516578036615,0.000518629380993926,0.016170336356894535,0.05215097392316569,0.013541516556870192,8.79758561741222,0.007791991578415036,0.606259157260259,0.011458913329988718,0.0002554679485911038,0.03885903488844633,0.2312365025281906,-0.11616973082224528,-0.003922389859023194,0.006376935246710976,0.00043902560719288886,0.009915840928442776,0.05976562574505806,0.006376935304918637,7.721375068028768
1,7,pg,central,0.009755308422344651,0.6160931912335482,0.013134320943870327,0.0005829889389381358,0.030443309213627468,0.4734537669203498,-0.3862977637486024,-0.003962001535745168,0.014176968527449802,0.0005312214270816185,0.01693130593577569,0.05372361972166056,0.014176968876695768,9.73768209327351,0.009074650083978971,0.5959888100624084,0.011392397806048393,0.0002841297353673629,0.03389371186494827,0.23327773809432983,-0.12689624975124994,-0.0026018776455506063,0.005587125817934672,0.0004392011760501191,0.008879337304582199,0.051736111442248024,0.005587125934349994,6.682444334030151
1,8,pg,central,0.01019805925898254,0.6355648501352831,0.013023905625397509,0.0006878358323919284,0.02204435042486611,0.4517847164110704,-0.4428666193376888,-0.003513682197080925,0.012644644493279471,0.0004958912130942653,0.015080919970800593,0.048549107148904695,0.012644644763151353,9.443215467713095,0.009615102161963781,0.6317026217778524,0.01129467242086927,0.0003736202561412938,0.0202993069930623,0.22539250055948892,-0.15861753125985464,-0.0020531905465759337,0.004909505175116162,0.0004686995525844395,0.008070423966273665,0.048046875124176346,0.004909505097505947,6.359985868136088
1,9,pg,central,0.009837027914314107,0.6242432811043479,0.012950298884375528,0.0006263828946463883,0.019212690044448456,0.47716289081356744,-0.4389700645750219,-0.003739653853699565,0.012996546342037618,0.0004795197310158983,0.015409287287514995,0.05004565731029619,0.012996546257371929,7.720162218267268,0.0077583694364875555,0.5971682965755463,0.011473041338225206,0.0004332903857905042,0.011781896386916438,0.22512412071228027,-0.17797970275084177,-0.004147962492424995,0.0040987287648022175,0.0003794060636816236,0.006657133111730218,0.03875868239750465,0.004098728493166466,6.2928634484608965
1,10,pg,central,0.009053126972338016,0.6417384310202165,0.012812365947121923,0.0006635657239025312,0.006331353824035349,0.42363960499113257,-0.45511536029252136,-0.004422804806381464,0.011864880639636382,0.0005244093392155429,0.014463765356181697,0.049766640305857764,0.011864880756051703,9.214802037585866,0.008243870766212543,0.6505817274252573,0.011280201841145754,0.0004562395788525464,0.0013444231202205021,0.222095787525177,-0.19716678063074747,-0.0034925706180122993,0.004813526019764443,0.000492461093623812,0.008310860566173991,0.054730902115503945,0.004813525942154229,9.119407018025717
1,11,pg,central,0.009643862362612377,0.6291961724107916,0.012632230254398151,0.0005406320537676121,0.0038622046757320113,0.4890698262236335,-0.4773457199335098,-0.003528999913462692,0.010758809062694623,0.0004137725581213917,0.012590352424674413,0.03822544619271701,0.010758809094444256,8.576940189708363,0.009442651101077596,0.6055688758691152,0.011466354286919037,0.000726267268267596,0.004831157702331741,0.24156122406323752,-0.19991086423397064,-0.002749970580528801,0.005199695782115062,0.0004140060458060664,0.008525190971946964,0.050824653978149094,0.0051996959567380445,7.255197803179423
1,12,pg,central,0.010638093533502384,0.6559671109372919,0.012867777481336485,0.00044367555579166213,-0.013437192558988252,0.42850385199893604,-0.49597354368730023,-0.002673359426394613,0.012544165561187336,0.0005094231019029394,0.01509686722420156,0.053495332768017594,0.012544165487104858,8.606200608340176,0.009527224581688643,0.6631742119789124,0.01130701539417108,0.0005494320771504135,-0.008382713693814972,0.22999253869056702,-0.2121177464723587,-0.0023292229937699935,0.004060793435201049,0.0004531819965147103,0.006897353217937052,0.044053819651405014,0.0040607932799806195,5.665355841318767
1,13,pg,central,0.009550986980850046,0.6379086483608593,0.01269937116144733,0.0008491144128493551,0.014924763469025493,0.48281324993480335,-0.49505552514032886,-0.003997498514681039,0.01535484389486638,0.0005400528316386044,0.01796737656166608,0.05506797913800587,0.015354844074780967,8.824225772510875,0.008006054597596327,0.601076583067576,0.01143667691697677,0.0006622626936708306,0.04235602201273044,0.3185771256685257,-0.1569076677163442,-0.004092885074593748,0.01120669674128294,0.0006159916277586793,0.015244603079433242,0.06866319353381793,0.011206696430842081,8.541782061258951
1,14,pg,central,0.010040459836917844,0.6037497574632819,0.012916310267014936,0.0006775168373219484,0.049851084212687885,0.5457332229072397,-0.421062323180112,-0.0035533672410317445,0.01538317745805464,0.0004690519004229414,0.017397919182919643,0.0445413964969868,0.015383177331056107,8.26037684353915,0.008990709126616517,0.578617125749588,0.011523917162170013,0.0005844135581961988,0.05787890156110128,0.33819902936617535,-0.1359354704618454,-0.0031176214009368173,0.011066102189943194,0.0004958207427989691,0.014349673253794512,0.05833333358168602,0.01106610296604534,7.822500944137573
1,15,pg,central,0.008040962846611033,0.6146652563051744,0.012814581478861246,0.0009032498884693687,0.05002607726915316,0.534342956813899,-0.4388862767002799,-0.005676868482789194,0.01788762064163827,0.0004784036255759102,0.020168542332777924,0.054408481513912026,0.017887620620471847,8.543377215212042,0.0065217954106628895,0.6249774098396301,0.011393711902201176,0.0005924257728414281,0.046108764596283436,0.31878867745399475,-0.1509544849395752,-0.005464342330621245,0.009415218334955474,0.0005202390141979171,0.01249771099537611,0.053645833084980644,0.009415218063319722,9.326995452245077
1,16,pg,central,0.007877813398160717,0.6097732836549933,0.012855871284211224,0.0006685177486493191,0.05854481441730803,0.5890251411633058,-0.45246942205862567,-0.005646575623276559,0.017637584421953015,0.00046214269439753315,0.019633633804253557,0.04730621007779105,0.01763758444311944,7.927290656349876,0.009228156801934043,0.583284854888916,0.011672883294522762,0.0005472867354304375,0.06488920748233795,0.36075687905152637,-0.14642148464918137,-0.00299201343053331,0.012253338432249924,0.0005172979629908999,0.015320512504937748,0.05542534791554014,0.01225333878149589,8.824723978837332
1,17,pg,central,0.008671889949420636,0.630633679303256,0.0128864841112359,0.0006127126761053991,0.04928747327490286,0.5600631507960233,-0.4323108277537606,-0.004827306828122924,0.01799704381053082,0.0005022469013056252,0.020320095312358302,0.05311485339718109,0.01799704418094321,9.16935856775804,0.009258998945976296,0.6484290858109792,0.011426489800214767,0.0006212140287971124,0.033489683332542576,0.3130330244700114,-0.1861923187971115,-0.0027887046647568545,0.0071966396644711494,0.0004216393911823009,0.009637835590789715,0.04118923687686523,0.007196639897301793,7.642589549223582
1,18,pg,central,0.01083453695967116,0.6588215584104712,0.012696828227490187,0.0012060797155144924,0.030691753268580545,0.5493181998079474,-0.4501634714278308,-0.003068370882167735,0.016343527928587388,0.0004945486328903247,0.018383323765275152,0.049107142851095305,0.01634352805558592,7.507978948679837,0.008873478354265293,0.6388514737288157,0.011399576906114817,0.0006543753006553743,0.03191374863187472,0.2996075650056203,-0.1894243210554123,-0.003180473942241709,0.004923187138047069,0.0003482372170158972,0.006676770358656843,0.027517361876865227,0.004923187312670052,6.176462610562642
1,19,pg,central,0.010828230911019173,0.6420197080482136,0.012613886840302835,0.0012244569097467981,0.03330431853167035,0.5694579468532042,-0.45077605139125476,-0.0030101127816702833,0.016489264978603882,0.0004889864368041427,0.018424670783464204,0.04814326318658211,0.016489265126768838,7.517074758356268,0.005781636107712984,0.6129342019557953,0.011397171144684156,0.0005490890390168109,0.034511360029379524,0.30963579813639325,-0.1851064215103785,-0.006164624045292537,0.009757568477652967,0.0006591495184693485,0.01330506056547165,0.05807291716337204,0.009757568555263182,8.754780928293863
1,20,pg,central,0.011714325201782312,0.6221126805652272,0.01281047316098755,0.000662589616932895,0.020441760351373392,0.5079841803420674,-0.4761100099845366,-0.0017587375186849385,0.014135066853751514,0.00045955130653138355,0.015990079126574776,0.04218242588368329,0.014135067340579222,6.760053954341195,0.007322405542557438,0.6295946339766184,0.011399491224437952,0.0008508447635904304,0.02234911289997399,0.2980361084143321,-0.20372241735458374,-0.004927930383322139,0.007958155280599991,0.00046837908545664203,0.011448981162781516,0.054904514302810035,0.007958155668651065,8.842722177505493
1,21,pg,central,0.008937510979277167,0.6531350070779974,0.012626593509180979,0.000632332002926975,0.02774407919919626,0.5808042342012579,-0.4491052722389048,-0.004321414487838576,0.01851209047758444,0.0005246310975053348,0.02080949245613407,0.05603185871785337,0.018512091112577102,8.444744045084173,0.006922136216113965,0.627080241839091,0.011224796685079733,0.0005105292976471295,0.02788760419934988,0.3112461318572362,-0.1997709423303604,-0.004813189657094578,0.010243059135973454,0.0005144523699224616,0.014362892679249247,0.0685763896132509,0.010243059291193882,11.342315832773844
1,22,pg,central,0.008594216842373664,0.6578924493356184,0.012536232952367176,0.0005448913138056097,0.02139695141125809,0.5474662428552454,-0.5099037194793875,-0.004486907401852394,0.014401086775416677,0.00047305921477593734,0.01647102121602405,0.046672078272835774,0.014401086849499155,8.542472373355519,0.007391807933648427,0.641408642133077,0.01124207970375816,0.0007299429507838795,0.027708391503741343,0.3207489500443141,-0.20580013593037924,-0.004580214561428875,0.011437821357200543,0.00064761227016182,0.01588771763878564,0.0770399309694767,0.011437821201980114,9.025011777877808
1,23,pg,central,0.009054502133618702,0.6039543720808896,0.013025364161215046,0.0005541048420292844,0.048017793843014675,0.6154720078815114,-0.46004718813029205,-0.004524967024653134,0.01985138109673492,0.0004677263667955148,0.022009367768822067,0.05433238670229912,0.019851381244899876,8.847132303498007,0.006386214556793372,0.6031229992707571,0.011440788550923267,0.0005578255859290948,0.06132115051150322,0.40885912378629047,-0.18654668579498926,-0.005612399661913514,0.012389106908813119,0.00041695049245997023,0.015006206696853042,0.049262152363856636,0.012389107141643763,7.080799301465352
1,24,pg,central,0.010277703573757952,0.6461330191655592,0.01290731110864065,0.000719164087908811,0.047761823812668976,0.613328604535623,-0.5043145174329932,-0.0033487716837870803,0.01807942174756053,0.0004130925037977497,0.019887213738084854,0.04669744371097873,0.01807942093794488,7.280572528188879,0.0067601235738645,0.6518979767958323,0.011417892606308063,0.000528400454641087,0.04338976337263981,0.38588276505470276,-0.20929484566052756,-0.005186169253041347,0.00842543765126417,0.0004742311333150913,0.010649104757855335,0.04110243093843261,0.008425437845289707,8.219136357307434
1,25,pg,central,0.009956416229463437,0.6255847296931527,0.012707506137138063,0.00035112013434131353,0.04442854407666759,0.6056573174216531,-0.4681521139361642,-0.003102209990505468,0.01510192733258009,0.0004007620889090256,0.01665323663672263,0.0388849430124868,0.015101927618326788,7.204450184648687,0.004626237942526738,0.6152920424938202,0.011225393352409204,0.0006516047167982227,0.03570277988910675,0.36034640669822693,-0.22536509235699972,-0.007250760090149318,0.010895655490458012,0.0005532069044420496,0.014020424180974564,0.05703125180055698,0.010895655490458012,9.460777997970581
