fold,epoch,model_variant,pg_estimator,train_loss,train_incremental_objective_mean,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_rs_allocation,train_mean_score,train_max_score,train_min_score,train_mean_expected_cost,train_total_predicted_cost,train_batch_budget,train_realized_cost,train_budget_fraction,val_loss,val_incremental_objective_mean,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_rs_allocation,val_mean_score,val_max_score,val_min_score,val_mean_expected_cost,val_total_predicted_cost,val_batch_budget,val_realized_cost,val_budget_fraction
1,1,rs,central,0.017924117390066385,0.007030484970362688,0.46950924735177646,0.02495460237630389,0.0010801662882096769,0.05466467353769324,0.031645268651614475,0.2932985106652433,-0.23380484770644794,0.3098114241253246,78.56144298206677,3.4911696250465782,3.438632844185287,0.042405268918335716,0.010242264562596878,0.006064755997310082,0.6833793222904205,0.01630702055990696,0.004130771228422721,0.03729166680326065,0.10528921087582906,0.2599773009618123,0.015271663665771484,0.5313719312349955,124.33265177408855,3.553875873486201,3.470532317956289,0.027095017446059553
1,2,rs,central,-0.019222249361601742,0.03632940986955708,0.6826288564638658,0.0171071603809568,0.0033261727101655033,0.08637124740264633,0.18552645736119963,0.6054109375585209,-0.16372951187870718,0.5945579707622528,151.19557328657672,8.331217668273233,8.25186230919578,0.05448249014734325,-0.012828190500537554,0.03173570618188629,0.6467118064562479,0.018907515642543633,0.007778040773700923,0.05308159984027346,0.30796970923741657,0.7380501131216685,0.010355393091837565,0.6944611668586731,162.33758417765299,6.812954823176066,6.664044082164764,0.03857006105124991
1,3,rs,central,-0.028068081560460003,0.05118764691393484,0.5595060424371199,0.02311956569213759,0.003971960564285837,0.06732954474335368,0.42268234897743573,0.925524115562439,-0.023374291983517734,0.7103603346781298,180.77844723788175,8.931414990262551,8.763290538029237,0.0491233810908081,-0.01858246885240078,0.04335688139932851,0.46652349829673767,0.024774412314097088,0.004486961290240288,0.051540800059835114,0.5350560545921326,0.9251908361911774,0.015642434358596802,0.74082812666893,173.00319163004556,8.047703405221304,7.868220587571462,0.04595845770046228
1,4,rs,central,-0.03381588233804161,0.059017271459610623,0.48815485022284766,0.02520138897340406,0.0032146520095259552,0.07020850327204574,0.5126375555992126,0.9676449759439989,-0.017603294415907425,0.7221992232582786,183.8240973732688,9.693790221756155,9.52284306829626,0.05279911437896401,-0.026691149609784286,0.05071198039998611,0.4818114986022313,0.024020830169320107,0.005750329793954734,0.05919270869344473,0.5271917283535004,0.9420347611109415,0.00726442535718282,0.7404290239016215,172.83633168538412,8.853400230407715,8.587548414866129,0.05471266541109266
1,5,rs,central,-0.02022378807040778,0.04438449765174565,0.47548690167340363,0.02416070948608897,0.005746583328635263,0.05187956675548445,0.5078148787671869,0.9735558032989502,-0.025483554059808903,0.7160221148620952,182.2870857932351,7.047776173461568,6.8851496495983815,0.03853705387883654,-0.026649287591377895,0.048349445685744286,0.48975856105486554,0.021700159025688965,0.0044898723140628745,0.057747396252428494,0.5045160899559656,0.9322522977987925,0.0045930445194244385,0.7165383398532867,167.26651255289713,9.305775980154673,9.08989903330803,0.05273601123761073
1,6,rs,central,-0.02280999580398202,0.044207297837023034,0.4940189705653624,0.02139730209654028,0.004813673078553455,0.05354352676394311,0.47103858265009796,0.9633175784891302,-0.04251772165298462,0.6877325637774034,175.0702008334073,7.170791457999837,7.026377520777962,0.04081669040813024,-0.027307685775061447,0.046935596503317356,0.4962565402189891,0.01962791041781505,0.004662322223670874,0.058420141227543354,0.47776036461194354,0.9159208138783773,0.003192991018295288,0.6875399152437845,160.52244313557944,8.949855009714762,8.730645497639975,0.05271178040493777
1,7,rs,central,-0.033969595351002434,0.05525068442379548,0.5123531750657342,0.02128108921037479,0.0036527151024860027,0.06593445682136173,0.46703859486363153,0.9642655768177726,-0.04728213765404441,0.6949103095314719,176.85452686656606,9.101479621096091,8.928810762410814,0.05121646277673699,-0.017992766574025154,0.04051404415319363,0.4895996352036794,0.02252127726872762,0.006456312615531108,0.046575522205481924,0.5032624006271362,0.9505051970481873,0.002049336830774943,0.7255727052688599,169.38256708780924,7.428572376569112,7.300492644309998,0.0435203597817512
1,8,rs,central,-0.04085650498216802,0.0640255261043256,0.5018265436996113,0.023169020444832066,0.0034263041300371037,0.07329038361256773,0.49755986576730554,0.9770139537074349,-0.039534352042458275,0.7058175070719286,179.660588351163,10.78310784020207,10.595956780693747,0.05995977034160008,-0.03710769458363453,0.059367372964819275,0.4983495573202769,0.022259678691625595,0.0052467195491772145,0.06792968697845936,0.5087189177672068,0.9564469158649445,0.0019461909929911296,0.715470939874649,167.01251475016275,10.809719125429789,10.565292994181315,0.06613080241823567
1,9,rs,central,-0.03181442948566242,0.053892418784512716,0.4948319440538233,0.0220779889178547,0.004258422696280336,0.06270545864985748,0.48609766499562695,0.9744756465608423,-0.05785097588192333,0.6921983659267426,176.17060990767047,8.912681847810745,8.758095535365017,0.0508408386547513,-0.03466012794524431,0.05582783278077841,0.5143810659646988,0.021167705145974953,0.00649639742156675,0.06421441243340571,0.4853745053211848,0.9518952171007792,0.0009769896666208904,0.7094424664974213,165.59896850585938,10.02967917919159,9.79328727722168,0.06268129167509794
1,10,rs,central,-0.023698973342437635,0.044510100671852175,0.5084817815910686,0.02081112682142041,0.003872145692598265,0.05230823895809325,0.45980739864436065,0.9695622541687705,-0.06285463950850746,0.6862264736132189,174.65954867276278,7.279913447119973,7.0978018045425415,0.04186337292498816,-0.04772908240556717,0.06771851517260075,0.540052185455958,0.01998943214615186,0.004762064423024033,0.07905816162625949,0.46369773149490356,0.9412794013818105,0.0006198485692342123,0.6968193749586741,162.65980275472006,12.3442432085673,12.129293044408163,0.07650163050166724
