epoch,model_variant,pg_estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_mean_expected_cost,train_total_predicted_cost,train_batch_budget,train_deterministic_cost,train_budget_fraction,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_avg_allocation_cost,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_mean_expected_cost,val_total_predicted_cost,val_batch_budget,val_deterministic_cost,val_budget_fraction,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_avg_allocation_cost,val_grad_score_norm
1,pg,central,0.04532541388956209,0.279078203253448,0.045398194808512926,0.0005275352381827562,0.04042743187164888,0.32417243098219234,-0.2058808415507277,0.18822029450287422,45.337156772613525,2.557846626266837,2.55169914662838,0.055103810564563226,-0.0027104572885339926,0.007376368851813216,0.00040346555154731806,0.011813987871088708,0.12741568110262355,0.007376368973685506,2.5479478078583875,7.984769319494565,0.036106448620557785,0.4377608001232147,0.03429066464304924,0.0003885220845404547,0.06753009185194969,0.1815263122320175,-0.002992422878742218,0.3265744984149933,68.1891860961914,3.058960182964802,3.0496556967496873,0.039803800438950473,-0.00012682636443059892,0.006040825205855071,0.00019484930526232348,0.008003392908722162,0.14743690192699432,0.0060408255783841016,3.0443232342600823,2.266927866637707
2,pg,central,0.03376864455640316,0.5089271316925684,0.029418613373612363,0.001707893548427819,0.06669048964977264,0.4437959666053454,-0.23564218543469906,0.38257087022066116,94.23820606867473,5.741342750688394,5.735735833644867,0.05879015700907051,-0.00418943631456159,0.02004296672142421,0.000606079161419378,0.02449698109800617,0.19416451236853996,0.020042967313202098,5.727277340988318,9.381269440054893,0.02727673277258873,0.4729885637760162,0.02665339820086956,0.0004273316393664572,0.06863635331392288,0.2546141564846039,0.00022694114595651628,0.37769513130187987,78.69734573364258,3.269817042350769,3.2352264165878295,0.047636136184910124,-0.0015133232926018536,0.012312965863384307,0.00046283227275125685,0.014553026016801595,0.21964241862297057,0.012312966212630273,3.232921326160431,3.710155487060547
3,pg,central,0.025512692984193563,0.4925292544066906,0.024416917469352484,0.0008686923615641717,0.0850995931153496,0.5384770308931669,-0.1969112524141868,0.3965660259127617,98.36842735608418,4.211056083440781,4.20874834805727,0.0433886975010383,-0.0032476862931313613,0.02182152875078221,0.0004865789451287128,0.025329579346968483,0.20844043977558613,0.021821528711977106,4.197872526943684,8.245291918516159,0.02622663974761963,0.461126846075058,0.024887442588806152,0.00033248145400648353,0.09456217885017396,0.3477175414562225,0.0004066656401846558,0.3844350278377533,79.93525657653808,5.323807989060879,5.293786447495222,0.05673792543951097,-0.00032320978643838314,0.020505386916920543,0.0004022155306302011,0.02319282852113247,0.24950721263885497,0.020505386171862483,5.311521253734827,5.738998138904572
4,pg,central,0.03132141016734143,0.5071056025723616,0.023587831839298207,0.0021814355685213136,0.10482130448023479,0.5889457811911901,-0.14766207896173,0.42603835587700206,105.76863559087117,5.304751254618168,5.301946413392822,0.048864109924930475,-0.0031735992815811187,0.030123156631210197,0.00047102060974187526,0.03352899110177532,0.21798266687740883,0.030123155544667195,5.290429823721449,8.68311674396197,0.02471548244357109,0.5203417539596558,0.025387545675039293,0.0004347248155681882,0.11061360687017441,0.44883442521095274,0.0005239842110313475,0.4408830463886261,91.92959537506104,7.731960737705231,7.6488464832305905,0.08055227173781329,-0.0028456868720240893,0.03699923940002918,0.0007518271042499692,0.04059393778443336,0.2861838936805725,0.036999238282442094,7.6943697214126585,7.6402193069458
5,pg,central,0.023991983539114397,0.5248425280054411,0.022977988856534164,0.0013835426194267104,0.11741451794902484,0.6614232013622919,-0.17319490450123945,0.4501458245019118,111.43737570444743,5.531116887927055,5.528009928762913,0.048665766332005776,-0.005903718275173257,0.03428220756662389,0.0005347090215461018,0.037525280960835516,0.21916188734273115,0.034282207915869854,5.5136033073067665,8.582657953103384,0.0192833561450243,0.46765373945236205,0.02463790252804756,0.0005542141949263169,0.14915452897548676,0.5030992031097412,0.0014426259556785225,0.43183825016021726,90.49594841003417,3.3427591383457185,3.2698495358228685,0.036290765403511574,-0.00812561735510826,0.02074119325261563,0.00038683447346556934,0.020922668045386672,0.18596755117177963,0.020741193206049502,3.320508235692978,3.912280631065369
6,pg,central,0.02546249853912741,0.5181411777933439,0.022927732827762764,0.0015668866439379296,0.14948421344161034,0.7053142289320627,-0.10292786452919245,0.4640998827914397,115.33654459317525,5.500962755332391,5.496272839605808,0.04840357186438038,-0.0052996680278738495,0.038618069782387465,0.0006016347518501183,0.04183166086052855,0.21067682094871998,0.03861806976298491,5.483884984006484,8.316251824299494,0.020911658741533758,0.5130383253097535,0.023838777095079422,0.00022154572943691164,0.159903621673584,0.599871838092804,0.000713393825571984,0.4717247664928436,98.74939785003662,7.456529089808464,7.353642529249191,0.06457961922886418,-0.004034846555441618,0.042014125362038614,0.0005024813406635075,0.04490701556205749,0.24590745568275452,0.04201412834227085,7.436003968119621,8.200713920593262
7,pg,central,0.025038977308819692,0.5392589829862118,0.023355408183609445,0.0014768755119523764,0.19074634338418642,0.770058107872804,-0.06301732989959419,0.505110445121924,125.25337553024292,6.244515746831894,6.239002960423629,0.049678147120595345,-0.00570080829008172,0.04968839980817089,0.0005623056646678984,0.052589705136294164,0.1993227063988646,0.04968839918728918,6.2249245171745615,8.935486098130545,0.03225141130387783,0.5128050446510315,0.025475799292325973,0.000939248752547428,0.23317520022392274,0.7117927074432373,0.002569596073590219,0.5137862861156464,108.08162231445313,6.60510823726654,6.5033916473388675,0.06662807972005881,0.0020793681032955647,0.04950583651661873,0.0006732556212227792,0.052452314645051956,0.2126712679862976,0.04950583577156067,6.5579673767089846,6.447895836830139
8,pg,central,0.023511758268189926,0.5004815459251404,0.021962335100397468,0.0018213984601977984,0.22358931228518486,0.835121807952722,-0.04749758201796794,0.49109355732798576,121.55363353093465,6.814845020572345,6.808298489699761,0.05707895528675224,-0.007557568989189652,0.05679598526330665,0.0006098380775559539,0.05998084810562432,0.20831443214168152,0.05679598520509899,6.796279328564803,8.646355936924616,0.0227882519364357,0.45490399599075315,0.021502669528126718,0.0013587325636763125,0.21325984895229338,0.7501615047454834,0.0003134176367893815,0.4562276005744934,95.62255783081055,7.208041632175446,7.162468194961548,0.07479029408931105,-0.0055080810096114876,0.05140077844262123,0.0008316920080687851,0.05458933785557747,0.260516831278801,0.05140077769756317,7.185423469543457,5.878391909599304
9,pg,central,0.026207166801517207,0.47704383606712025,0.021432398896043498,0.0021666144006715626,0.22577686173220476,0.8283626263340315,-0.047469958662986755,0.4828510756293933,119.94139957427979,5.718338392674923,5.715603532890479,0.0476516510584735,-0.006058303697500378,0.04911818968442579,0.0005664444300540102,0.05223749733219544,0.20028482905278602,0.04911819022769729,5.70182366669178,8.223327070474625,0.02328207455575466,0.42076086401939394,0.022524737939238548,0.0005254650843653508,0.2577867865562439,0.7560562491416931,0.0015576696721836924,0.4588514506816864,96.45721626281738,6.581977645307779,6.480573090910911,0.056512678738829814,-0.0018699891399592162,0.04071940944995731,0.0003671848855447024,0.04298529352527112,0.19248797744512558,0.04071941019501537,6.5688862593844535,5.6031914204359055
10,pg,central,0.023375564021989703,0.46189213295777637,0.02161525593449672,0.0018481061063747954,0.2609656260659297,0.858206016321977,-0.0441739751380131,0.4854729361832142,119.98054027557373,6.607426202545564,6.603447366505861,0.055099746003833217,-0.0074802223437776165,0.057062358517820634,0.0005338044175005052,0.06023240842235585,0.19758379521469274,0.05706235867304107,6.5908736536900205,8.833911607662836,0.022877312079072,0.4332735240459442,0.021278217434883118,0.0016528256091987714,0.2674182206392288,0.7969824433326721,0.0012515297043137253,0.48985161185264586,102.80508804321289,4.927183842658996,4.87266041636467,0.04419809020800103,-0.006665033241733909,0.03598745614290237,0.0005300600314512849,0.038345304876565935,0.19275240898132323,0.035987455025315286,4.909878271818161,5.484654188156128
