fold,epoch,model_variant,estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_grad_score_norm
1,1,pg,forward,0.03654397414489226,0.2021588689901612,0.03719373428347436,3.991565065675218e-05,-0.001707577363545583,0.19349516013806517,-0.20752004432407292,-0.0006896757311716846,0.002808132609061431,0.0005847270797610029,0.005651771384608847,0.04679890518838709,0.002808132609061431,37.73957930911671,0.02798469519863526,0.30148127178351086,0.027688706604142983,6.265809209556512e-05,-0.006816246313974261,0.07507934918006261,-0.08645794292291005,0.00023333050194196403,0.00031633400673551176,0.0003311919839082596,0.0020085194652589657,0.03576389032726487,0.00031633399945955415,18.408734401067097
1,2,pg,forward,0.020513227632777256,0.4369918961416591,0.024472813206640156,0.00016963320575252345,-0.007674064444886012,0.29508188366889954,-0.3209266987713901,-0.004129219032951038,0.007070894210218367,0.0007948435430245644,0.010033194854093546,0.05093344216319648,0.0070708942843008445,39.444683118300006,0.023342678944269817,0.5389731526374817,0.019719528034329414,0.00021244150654335195,-0.005832106651117404,0.09530489643414815,-0.10387430091698964,0.0034107094494781145,0.0009817910759011284,0.0003295098479914789,0.002954293896133701,0.040451390823970236,0.0009817911122809164,24.664227326711018
1,3,pg,forward,0.017056609207594938,0.6122644895857031,0.020151803439313717,0.00014690418395718103,-0.000526376830583269,0.34660223668271845,-0.34137690473686566,-0.0032420980450379748,0.010118611728433858,0.0008377379477182826,0.01321517238499258,0.058822037863799116,0.010118611516769637,41.163957444104284,0.016736255803455908,0.6308822830518087,0.017393875556687515,0.0001934375963325389,0.009166644653305411,0.10386935869852702,-0.0947659562031428,-0.0008510571303001294,0.0017549207417080954,0.0004063859523739666,0.004103052701490621,0.0512152798473835,0.0017549207817258623,28.421452124913532
1,4,pg,forward,0.009371532762253826,0.6573891612616453,0.01854741886596788,0.00024194874077549338,0.008931223271329973,0.33414415608752857,-0.36133526401086286,-0.009417835062115708,0.009285903863862834,0.0007581835975129666,0.012190567266026681,0.05136465175415982,0.009285903885029256,38.296001867814496,0.01431357596690456,0.6640180945396423,0.016090790275484324,0.0002481734851850585,0.009652849131574234,0.11326240499814351,-0.09896315137545268,-0.002025387846515514,0.0017627181465892743,0.00040138030211285997,0.004138061621536811,0.05147569626569748,0.0017627182436020423,27.44386871655782
1,5,pg,forward,0.010770966891538013,0.6910343549468301,0.017488265113735742,0.0002811758577624087,0.027698865631298922,0.38197091899134894,-0.34121466224843805,-0.006998474095863375,0.012020875191824003,0.0008895194583932276,0.015424286925487897,0.060217127203941345,0.012020875339988957,46.25863643126054,0.017862338883181412,0.6730158925056458,0.015384042790780464,0.00019829025889824456,0.04880800470709801,0.16712122162183127,-0.061246285835901894,0.0022800059232395142,0.0048283534512544675,0.0005498724640347064,0.007851672785667082,0.06354166846722364,0.004828353684085111,33.36684004465739
1,6,pg,forward,0.011244643479585648,0.653800988739187,0.017200071322308344,0.0002155768049638079,0.06320790557021444,0.4326303167776628,-0.3332884487780658,-0.006171004591372118,0.013202828339258716,0.0008197245789977552,0.01596462065671486,0.0521509742194956,0.013202828630297021,37.09717535972595,0.010196674149483442,0.6105254491170248,0.015246143098920584,0.00017079470459672544,0.08011624713738759,0.2127407987912496,-0.03775595625241598,-0.0052202634590988355,0.006823629548307508,0.0005416513692277173,0.010029429356412342,0.05976563040167093,0.006823629645320277,37.581366221110024
1,7,pg,forward,0.013747818471694534,0.6491518779234453,0.0169457869858227,0.0001749246729655273,0.08361504870382222,0.4700546616857702,-0.309263403442773,-0.003372893478213386,0.014926050863736733,0.0007792757215528665,0.017761576888998123,0.053723621520806446,0.014926051170649853,38.22387712652033,0.009411858472352227,0.6629003683725992,0.014731791491309801,0.00013318741366674658,0.08546855921546619,0.21995365619659424,-0.025446966290473938,-0.005453120684251189,0.00642100515930603,0.0005937607978315403,0.00934638773712019,0.051736111442248024,0.006421005314526458,32.876228173573814
1,8,pg,forward,0.00771209140392867,0.6745080893689935,0.01650294598022645,0.00036868118384929136,0.09727238829840314,0.48351805995811115,-0.3108231750401584,-0.009159535508264195,0.014855713821651245,0.0008041410024320198,0.017492888299536637,0.048549108376557175,0.014855714165605605,35.72098729827187,0.0075536794029176235,0.67021976908048,0.014322050536672274,0.0001530834472305287,0.10818528880675633,0.26057099799315137,0.0012877161304155986,-0.006921454798430204,0.007802163017913699,0.0005548078091427063,0.010542093931386868,0.04804687574505806,0.007802162707472841,31.786513169606526
1,9,pg,forward,0.01779636317356066,0.687734452160922,0.015954083974727175,0.0003116782842628073,0.1006530916148966,0.5119556188583374,-0.27425172518600116,0.0015306007434529338,0.01594904789552939,0.0007838947243395854,0.01850453644080765,0.050045658156953075,0.01594904820773412,34.53705310821533,0.01998527891313036,0.6781466901302338,0.01389888177315394,0.0001730183369848722,0.09156788513064384,0.23177791635195413,-0.010885777572790781,0.00591337828276058,0.005521351549153526,0.0004888193701238682,0.007862730960672101,0.038758681466182075,0.005521351937204599,28.266492525736492
1,10,pg,forward,0.0030053989453749223,0.6829695322296836,0.01573518735610626,0.00039043990640989665,0.09932729703458873,0.4653118185021661,-0.28035975044423883,-0.013120228138921613,0.015079802722373808,0.0007822112966096029,0.01773895964619111,0.049766640475189146,0.01507980230433697,36.23128414154053,0.011769340295965472,0.660904328028361,0.013801771060874065,0.00015621788224962074,0.11481349170207977,0.27311042447884876,0.0025757749875386557,-0.0021886487180987992,0.009585775396165749,0.0007077632180880755,0.012622310236717263,0.054730904599030815,0.009585775900632143,33.977458477020264
