epoch,model_variant,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_incremental_objective_mean,train_mean_soft_allocation,train_budget_fraction,train_batch_budget,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_incremental_objective_mean,val_mean_soft_allocation,val_budget_fraction,val_batch_budget
1,dfl,0.037230455743459366,0.28350827159980935,0.043999503289038934,0.0005434207446858667,0.06454715760870992,0.38154777760306996,-0.16204215865582228,0.00948615147202266,0.05435127578675747,0.055103810564563226,13.958333333333334,0.0249117910861969,0.43950986862182617,0.03200661614537239,0.00040579696142231116,0.13537785410881042,0.322582471370697,0.007884392328560353,0.009123809076845646,0.04441105872392655,0.039803800438950473,9.6
2,dfl,0.01618269601992021,0.461630708227555,0.026091484740997355,0.0026133832399561165,0.15731732112665972,0.6237692559758822,-0.0872145361887912,0.02297570487038077,0.05277224614595374,0.05879015700907051,15.0,0.004704420641064644,0.4273697793483734,0.024741261452436446,0.0003795420285314322,0.20481323897838594,0.6050367832183838,0.00161164483288303,0.021934550534933806,0.04585336893796921,0.047636136184910124,8.2
3,dfl,0.008447940306117138,0.39412278557817143,0.022849697386845946,0.0021388024761866595,0.24560404941439629,0.8078069885571798,-0.01887889692443423,0.025095769660159323,0.03994609464037543,0.0433886975010383,10.583333333333334,-0.01193109229207039,0.36330523490905764,0.022555556520819663,0.0010899183107540011,0.24571020305156707,0.7605560660362244,0.00024718414642848073,0.039936240017414096,0.06177247986197472,0.05673792543951097,14.4
4,dfl,-0.004259494288514058,0.31792541469136876,0.022710124185929697,0.0015786735530086322,0.2999102721611659,0.8801837489008904,-0.02561730518391414,0.034862986377750836,0.04677418324475487,0.048864109924930475,12.458333333333334,-0.0333828330039978,0.3137925982475281,0.023154688626527788,0.001122912818027544,0.34627215266227723,0.8575538158416748,0.00047258150298148396,0.06215208694338799,0.0824957937002182,0.08055227173781329,17.6
5,dfl,-0.010997048113495111,0.31259455035130185,0.023015400394797325,0.001023874117208834,0.36959507564703625,0.9292354956269264,-0.005085062630617661,0.03913181889220141,0.047870951355434954,0.048665766332005776,12.208333333333334,-0.004321248829364776,0.2825597673654556,0.02313351072371006,0.00042354368597443683,0.4096351623535156,0.9049103617668152,0.0011249563773162662,0.029572477797046304,0.036598561657592656,0.036290765403511574,7.6
6,dfl,-0.012993959593586624,0.3185996077954769,0.023334577369193237,0.0010092285172618176,0.40399519974986714,0.9495398650566736,-0.0014915507636032999,0.04137467916977281,0.048720316136799134,0.04840357186438038,11.958333333333334,-0.03340783007442951,0.3055174708366394,0.022600114345550537,0.0003216709145817731,0.3948449730873108,0.9171173572540283,0.0005525798973394558,0.05761629864573479,0.06941105723381043,0.06457961922886418,16.0
7,dfl,-0.01381667070866873,0.2943332940340042,0.023105763597413898,0.0011367326931501036,0.40360737095276517,0.9569099446137747,0.00012915223912083698,0.04260609782068059,0.04968392790760845,0.049678147120595345,12.458333333333334,-0.026691670715808868,0.3066720485687256,0.02180590257048607,0.0007758839714369969,0.3821003019809723,0.9209788799285888,0.0005186104739550501,0.05237699374556541,0.06304086446762085,0.06662807972005881,12.6
8,dfl,-0.019301628616328042,0.3420892544090748,0.022629053409521777,0.001402150162309231,0.40356310953696567,0.9549385085701942,0.000307059365392585,0.04894143307077078,0.05717464963284632,0.05707895528675224,14.0,-0.04036035537719727,0.3356188774108887,0.02199910469353199,0.0004597670778821339,0.42144663333892823,0.93461012840271,0.0008967051398940384,0.06465829610824585,0.07632211446762086,0.07479029408931105,16.0
9,dfl,-0.008423054784846803,0.27685172110795975,0.024223750379557412,0.0016709524306861567,0.43781886001427966,0.9611097474892935,0.0005568516636837254,0.04100156769466897,0.04739700960150609,0.0476516510584735,11.875,-0.028446384146809577,0.24162225425243378,0.022941678017377853,0.0003803931068432576,0.4524069368839264,0.9290467858314514,0.0005812937044538558,0.05329002887010574,0.06316106170415878,0.056512678738829814,14.4
10,dfl,-0.018660954005705815,0.2887402232736349,0.023692318703979254,0.0010523726220318015,0.45340270300706226,0.9623142257332802,0.0005571901456278283,0.04761513516617318,0.054934265557676554,0.055099746003833217,13.541666666666666,-0.01507170982658863,0.2731774240732193,0.02239852324128151,0.0005054019883573346,0.45906655192375184,0.9415294289588928,0.0009049592423252762,0.039997243136167523,0.046754808723926546,0.04419809020800103,10.2
11,dfl,-0.013136881364819905,0.28411320100227994,0.023426911716038983,0.0018331277637599896,0.4585512193540732,0.9656840289632479,-4.916357890275928e-06,0.04572943167295307,0.05242985506386807,0.05240564997736027,13.291666666666666,-0.016796927899122238,0.24894624650478364,0.022750769928097724,0.000620850992618216,0.4837364315986633,0.9456306099891663,0.0008913702622521669,0.04265195317566395,0.04987980537116528,0.04730702613667191,11.0
12,dfl,-0.021527176567663748,0.26348835540314514,0.02405915455892682,0.0008128003014415223,0.4675259528060754,0.9674895082910856,0.000416461603284309,0.04965033228897179,0.056661628070287406,0.056763701048644144,14.375,-0.014331338182091712,0.25596254467964175,0.023040103539824486,0.0009447099728276953,0.48780393600463867,0.9521943688392639,0.0007843183964723721,0.04209499200806022,0.0483173118904233,0.04364880042882517,10.6
13,dfl,-0.02003244838366906,0.3218006069461505,0.023145564133301377,0.0009958500352951205,0.460691649466753,0.9685971190532049,0.0004886207061645109,0.048157262606158234,0.054403982552078865,0.054438301224928876,13.666666666666666,-0.019053168036043643,0.2902019262313843,0.022835670784115792,0.0005361288728408908,0.4670722186565399,0.951894474029541,0.0006507932674139738,0.04456948395818472,0.051322116144001485,0.050485556235375796,9.6
14,dfl,-0.013572177228828272,0.2856278208394845,0.02327802001188199,0.0013887620922072112,0.44101979210972786,0.9677219614386559,0.00011617578381143782,0.04379400777785728,0.05007245465336988,0.05007436590429485,12.166666666666666,-0.036381059512496,0.2617079704999924,0.022951992228627205,0.000693383574980544,0.4569883942604065,0.942070460319519,0.00046570143895223736,0.06279997006058693,0.07319711893796921,0.07029438645304922,15.2
15,dfl,-0.015686262981034815,0.2759390342980623,0.02272179730546971,0.0006618694251964522,0.4527350341280301,0.9607614850004514,0.00026212330400691525,0.04171740741003305,0.048035325831733644,0.04763351709638044,12.166666666666666,-0.00820648241788149,0.28399285972118377,0.02177402712404728,0.0008066312366281636,0.4416628360748291,0.9439263939857483,0.0008175478142220527,0.03401366574689746,0.03972355723381042,0.04252803480181751,8.4
16,dfl,-0.025479819625616074,0.33588801324367523,0.021730818087235093,0.0022038232122933246,0.4040060266852379,0.9681789328654608,0.00025551349335728446,0.05822975429085394,0.0665288200834766,0.06668466345666713,16.25,-0.03131524994969368,0.28428634703159333,0.02197866775095463,0.001020649410202168,0.405961149930954,0.9482948660850525,0.0003793026087805629,0.058397164940834044,0.0678485594689846,0.0708255707648901,15.6
17,dfl,-0.019631626666523516,0.23304026822249094,0.02534750026340286,0.0011027420298767392,0.45117735614379245,0.9653605272372564,0.0002852902850160414,0.050492836841537304,0.05798981117550284,0.057922638666509506,14.458333333333334,-0.005643020942807197,0.21509804129600524,0.02286040559411049,0.000927593193409848,0.45838196873664855,0.9461802959442138,0.0010629373951815068,0.03314139228314161,0.03816105909645558,0.04064044750478442,8.0
18,dfl,-0.012699096696451306,0.2945849758883317,0.023141187926133473,0.002145597591177347,0.4605221760769685,0.9704585671424866,0.0004954408092695909,0.04656827304279432,0.05291813635267317,0.05339203394213606,13.416666666666666,-0.026727566495537758,0.30053569078445436,0.02254622392356396,0.0003393461656742147,0.46875767707824706,0.9566108822822571,0.0013793454912956805,0.05097052156925201,0.05847355425357818,0.055203010475163496,13.2
19,dfl,-0.007646313752047718,0.3148580752313137,0.021912663554151852,0.0015345139469597295,0.426324484248956,0.9708641196290652,0.0001555253684273339,0.037231547214711704,0.042338709463365376,0.042306357407575164,10.708333333333334,-0.02138018012046814,0.2930654644966125,0.02193467728793621,0.00022575796610908584,0.4510531842708588,0.9559231400489807,0.0008059197396505624,0.04444364625960588,0.05132211484014988,0.04870785756302491,9.6
20,dfl,-0.020587274804711342,0.31855474784970284,0.022359372039015096,0.0017135404430348444,0.4328235077361266,0.9697607333461443,0.0003853435922186084,0.05151434898531685,0.05847299320157617,0.05873419733643916,14.708333333333334,-0.01802817601710558,0.2761733114719391,0.021572495624423028,0.00044792010403398307,0.4188826262950897,0.9501692414283752,0.00032672513043507934,0.04184027016162872,0.048317307233810426,0.04432423053380246,10.6
21,dfl,-0.010538644157350063,0.24847855046391487,0.023030017192165058,0.0017556842572048481,0.4254075114925702,0.9627026642362276,4.8559449320843363e-05,0.04234708292642608,0.04905388999031857,0.0488507081532169,12.166666666666666,-0.010384323075413704,0.19270498156547547,0.023612849041819574,0.0007897342028627463,0.4837997853755951,0.9422462940216064,0.0010636766848620028,0.03794584264978766,0.04429086442105472,0.04703702576333517,7.8
22,dfl,-0.014937177222842971,0.23526465023557344,0.024386870286737878,0.0005504268425132371,0.4837070244054,0.96721384425958,-0.0026630541315171286,0.04207618134872367,0.04819808392009387,0.04857281544785005,12.208333333333334,-0.015749748796224594,0.24978239834308624,0.021814941614866256,0.0006873085721963434,0.4566815674304962,0.9505950808525085,0.0006896805367432535,0.04100123341195285,0.04753605583682656,0.04563396489668331,10.4
23,dfl,-0.00896715473694106,0.2858121705551942,0.022261519295473892,0.001910891879074228,0.4525640979409218,0.971981406211853,0.00027529675238232204,0.04078313308612754,0.04624496047229817,0.04593171643489056,11.708333333333334,-0.041436135023832324,0.2860433101654053,0.021647537127137184,0.0004365676718407485,0.4495867908000946,0.9525246500968934,0.0006042149267159403,0.06526651009917259,0.0747596152126789,0.07205029231567703,15.6
