fold,epoch,model_variant,pg_estimator,train_loss,train_incremental_objective_mean,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_soft_allocation,train_mean_score,train_max_score,train_min_score,train_mean_expected_cost,train_total_predicted_cost,train_batch_budget,train_realized_soft_cost,train_budget_fraction,val_loss,val_incremental_objective_mean,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_soft_allocation,val_mean_score,val_max_score,val_min_score,val_mean_expected_cost,val_total_predicted_cost,val_batch_budget,val_realized_soft_cost,val_budget_fraction
1,1,dfl,central,0.032792945646426895,0.0015263870591297746,0.27491497790271585,0.032705459066412666,0.00016138737304448693,0.008940774428827519,0.024979167596691033,0.25221249427307735,-0.2283155003731901,0.17174075747078116,43.524314013394445,2.075051750310443,0.24661526617340065,0.04672997780135871,0.021656656327346962,0.002940871510266637,0.47032904128233594,0.020887123110393684,0.000371040483211497,0.035388133799036346,0.04396391722063223,0.1522350013256073,-0.06045141319433848,0.31197651227315265,72.83014551798503,2.5133451521396637,2.513345241546631,0.03682656541890031
1,2,dfl,central,0.018145639915019274,0.004772750396196815,0.5696471780538559,0.019669961438260296,0.00032484288529068613,0.0193203826519576,0.05098125846548514,0.38039235499772156,-0.27941795641725714,0.3926032253287055,99.86123553189364,5.139352310787547,1.435683544386517,0.05138129839356295,0.014005691123505434,0.0037232081425221017,0.6190296510855356,0.016405209122846525,0.00013236897848400986,0.04156361062390109,0.055844553435842194,0.16194861133893332,-0.06890468796094258,0.4361279507478078,101.94119834899902,4.4469270358483,4.446927299102147,0.04024150647563317
1,3,dfl,central,0.011438979470933025,0.00794761495622383,0.6562475535002622,0.017443180676888336,0.00019434137887182473,0.03271571368995038,0.06177512878044085,0.3791550872000781,-0.27795502272519196,0.47184707766229456,120.08662102439187,7.012064116922292,3.108497830954465,0.05825441397271645,0.010364556219428778,0.006004373038498064,0.6690916319688162,0.01529459080969294,0.00010743384852200204,0.05445254151709378,0.07119971886277199,0.1884503165880839,-0.060504754384358726,0.4912891934315364,114.94701894124348,5.944548447926839,5.91253736615181,0.05071781567458979
1,4,dfl,central,0.010877548759295181,0.007484887260943651,0.6802638525312598,0.016726108267903328,0.00016363277426734157,0.030196606456725436,0.07532675394957716,0.3868486772884022,-0.2502795159816742,0.5039388307116248,128.24588810313833,6.605329649014906,3.0436081154779955,0.05132898413838407,0.009759088978171349,0.006346605601720512,0.6883243521054586,0.015014724029848972,0.00010909705239707061,0.05520009296014905,0.07638468220829964,0.1993174503246943,-0.04841046531995138,0.5127413819233576,119.97750091552734,6.004473388195038,5.97952417532603,0.05114154304097357
1,5,dfl,central,0.00811738954772326,0.009971594056961212,0.6901514313437722,0.01669802546331828,0.0001390958177089694,0.04066084465011954,0.08370845561677759,0.38851838355714624,-0.22906922481276773,0.5186726992780512,132.03849584406072,7.960434664379466,4.269949273629622,0.06005443931647065,0.007085764004538457,0.009385164361447096,0.6674848894278208,0.014807204405466715,0.00016637240939113931,0.06908903705577056,0.09568685665726662,0.22893871366977692,-0.022503182291984558,0.5092144856850306,119.11875025431316,7.102932492891948,6.932076652844747,0.0632865113738676
1,6,dfl,central,0.009002075234258717,0.009994178004986183,0.6658089648593556,0.016292510638860138,0.00027037425006297286,0.03892408203418282,0.10239466245878827,0.3879448988220908,-0.2025695199316198,0.514856444163756,131.02592260187322,6.83430195667527,3.9761944237080487,0.0523123962157148,0.006122796485821406,0.010090608809453746,0.6634243528048197,0.014564724173396826,0.0001648681063670665,0.06438866079164048,0.11250550424059232,0.25124160945415497,-0.00672583281993866,0.5207128524780273,121.77423477172852,7.337008357048035,7.151866475741069,0.0586197077763679
1,7,dfl,central,0.008467505601319399,0.009294768033379858,0.6664014783772555,0.016217155509035696,0.00015451180960064775,0.032589594410224396,0.12038828568025069,0.4385996433821591,-0.16800307008353146,0.5321523628451608,135.43951416015625,7.261551212180745,3.3540427034551445,0.053754960495781594,0.005713281066467364,0.010321219839776555,0.673254519701004,0.014488286649187406,0.00015462143085187563,0.05811693364133438,0.12837180495262146,0.26957352459430695,0.010332991679509481,0.5449722111225128,127.44858423868816,5.992465178171794,5.904747287432353,0.05087807169892929
1,8,dfl,central,0.009049611377783796,0.010865121201442724,0.6861596215854991,0.01639202491126277,0.00035227077814361314,0.03709824112328616,0.13077703355388207,0.44161711768670514,-0.15384686399589886,0.5609790493141521,142.7735859264027,6.9617481692270795,4.149628785523501,0.04854109837703566,0.005875390022993088,0.010564407178511223,0.6929071644941965,0.014900601468980312,0.00015391956470741283,0.055299521734317146,0.13911767055590948,0.2833331972360611,0.019857078790664673,0.5734094878037771,134.05538940429688,6.387495199839274,6.326678951581319,0.04805354207416133
1,9,dfl,central,0.008495855526151981,0.011112019906497815,0.6924337446689606,0.016861317128959028,0.00027465581909134266,0.038047863001173195,0.14087367057800293,0.42522444508292456,-0.12815345688299698,0.5739173455671831,146.08872985839844,7.335681668736718,4.453468729149211,0.050084052494704046,0.006660199724137783,0.00936245770814518,0.6667852699756622,0.015107953920960426,9.147035215543535e-05,0.044670709719260536,0.1563973849018415,0.30409452815850574,0.026371488968531292,0.5638583401838938,131.80434036254883,5.174704392751058,5.174704551696777,0.03866169854278881
1,10,dfl,central,0.0066728518683124675,0.01161148947854103,0.6502002342180773,0.016636979893188585,0.00016473614150863176,0.037265146828510544,0.1612981314008886,0.4428118142214688,-0.09016297893090681,0.5516929220069539,140.4452219876376,7.015837341547012,4.207377501509407,0.049760026284948265,0.0027309381403028965,0.01332080791083475,0.6359459658463796,0.015041508401433626,0.00010102373398979125,0.06178775802254677,0.16871162752310434,0.30657141904036206,0.029491454362869263,0.5417481859525045,126.61806742350261,6.73655899365743,6.673025290171306,0.0546691927316141
1,11,dfl,central,0.009240934921597893,0.009629896709653125,0.6275886541063135,0.016495112880048426,0.00023757189405221817,0.03210870684547858,0.16867363859306683,0.4386628513986414,-0.09634717486121437,0.5398972197012468,137.4329438643022,5.267019101164558,3.5111987712708386,0.03817505319377102,0.002741272716472546,0.01328067722109457,0.6193213562170664,0.014900196033219496,0.00011217541789321217,0.05926946830004454,0.1769940306742986,0.31849661469459534,0.031594509879748024,0.5348899563153585,125.04150772094727,6.266589045524597,6.259707768758138,0.05201832480841418
1,12,dfl,central,0.004827544643458995,0.013259892185239798,0.6339275999502703,0.016506534239107914,0.00015809027039911686,0.04298844972138547,0.17817758565599268,0.4365455697883259,-0.0748777985572815,0.5512759360400113,140.32801055908203,7.4552009037949825,4.768205992200158,0.05302157799653628,0.0034778420037279525,0.012254191795364022,0.6327725748221079,0.014867989967266718,8.64043616957133e-05,0.05157424043864012,0.1889712413152059,0.3408322234948476,0.03139487902323405,0.5614949961503347,131.26610310872397,5.8756357828776045,5.8756357828776045,0.04476973928123406
1,13,dfl,central,0.002311245644126426,0.015576579406942155,0.6247689778154547,0.016399465628306974,0.0001488359439850807,0.05006541328674013,0.19273199276490646,0.4450172890316356,-0.05935372818600048,0.5555729134516283,141.42355970902875,7.789759581739252,5.564747886224226,0.05514821635355234,-0.004435963463038206,0.02047579533730944,0.5920525888601939,0.014723149904360374,0.00013166819796121368,0.07917236412564914,0.20941662043333054,0.3736184636751811,0.03967308004697164,0.535758356253306,125.27308527628581,8.390978892644247,8.254062016805014,0.06958106860325713
1,14,dfl,central,0.006321083669635383,0.013199811780147931,0.6004669395360079,0.016339871228079905,0.00031810243448856824,0.04011935194615613,0.2025455046783794,0.4867981292984702,-0.06181355768984014,0.5458828454667871,138.90911241011187,6.142205276272514,4.398302029479634,0.04436856619666375,-0.0015072783765693505,0.01723744204112639,0.6100789805253347,0.014771953069915375,9.582106443654463e-05,0.06561703483263652,0.20981191843748093,0.37278562784194946,0.03574639558792114,0.55622265736262,130.05837631225586,6.973352571328481,6.946556866168976,0.05776693531166183
1,15,dfl,central,0.0016267685727639632,0.015638860461132772,0.6106632162224163,0.016474497716196558,7.911314446961238e-05,0.04676076869310981,0.2148152386600321,0.4755095026709817,-0.043711240996013985,0.5642796321348711,143.64366080544212,7.877808806571093,5.3522960083051165,0.054946418187000544,-0.00013214644665519396,0.016840588456640642,0.5953228970368704,0.015111024336268505,0.00015974178421629404,0.059857926021019615,0.22872456659873328,0.38711438079675037,0.04055297871430715,0.5599611898263296,130.8558603922526,7.372202614943187,7.326449592908223,0.053058872711289846
