epoch,model_variant,estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_grad_score_norm
1,pg,score_function,0.022907911528212328,0.24429703938464323,0.048700289257491626,0.0003110122824807604,0.03350032063705536,0.2942172105734547,-0.20965188276022673,-0.002997294463663517,0.008024441434827168,0.0007754292055324186,0.011266382042473802,0.055543305817991495,0.00802444158034632,9.490629663070044,0.020730768516659736,0.37708725333213805,0.03872364163398743,0.0004544521492789499,0.06546471789479255,0.1542643904685974,-0.0011875420808792115,-0.0009033131849719211,0.0041666186414659025,0.000521786866011098,0.006167597137391567,0.04441105872392655,0.0041666186414659025,4.373389035463333
2,pg,score_function,0.019814732717350125,0.4198025204241276,0.03490396053530276,0.0011678595829162457,0.057715154718607664,0.4192046945293744,-0.27029846732815105,-0.003476545437782382,0.013154731723867977,0.0008902814552129712,0.016389199382198665,0.05910303354418526,0.013154731631705848,10.983829999963442,0.0174292653799057,0.36102859377861024,0.03335294350981712,0.0005779743056336884,0.057219119369983674,0.16024962663650513,-0.005017396062612534,-0.002137077326187864,0.004104661219753325,0.0008216987422201783,0.006287695071659982,0.045853367820382115,0.004104661161545664,3.7364948749542237
3,pg,score_function,0.025489419892740745,0.3426970764994621,0.03458072058856487,0.0021807383108315057,0.05055773009856542,0.41801027581095695,-0.2726168980201085,-0.002704631776092962,0.010221839974595545,0.0007520286374832116,0.012685854700976051,0.043378276692237705,0.010221840071608312,8.971638868252436,0.01779090128839016,0.29387017488479616,0.032809557020664216,0.0008648546354379505,0.047186761349439624,0.1565439522266388,-0.010650786012411118,-0.0029381505213677884,0.005299345031380654,0.0007145433279220015,0.008462860900908708,0.06316105797886848,0.005299344845116139,5.6132930517196655
4,pg,score_function,0.017049944183478754,0.28182563247780007,0.03521269420161843,0.0005753596062428867,0.06842314762373765,0.4628538154065609,-0.23518199287354946,-0.0034332008290220983,0.013730305673864981,0.0007682688944138741,0.016223305855722476,0.04917464746783177,0.013730306032812223,9.737138832608858,0.012442592345178128,0.2718562513589859,0.032974603772163394,0.00032488985161762687,0.08386261165142059,0.2389090120792389,-0.0014251223765313625,-0.005669158603996039,0.012975047342479229,0.0011943897465243936,0.01711855735629797,0.0825721189379692,0.012975048460066318,9.180219054222107
5,pg,score_function,0.02232209759919594,0.2994083787004153,0.03159205747457842,0.002046746207270189,0.09424814178297918,0.4920405137042205,-0.18609854454795519,-0.0037076623896912984,0.01563915969260658,0.0007828765265003312,0.017929897760041058,0.04819808508424709,0.015639159479178488,9.71445886294047,0.01805979423224926,0.2456238240003586,0.032405299693346025,0.0005274339913739823,0.09673966020345688,0.2780861437320709,-0.0002628691494464874,-0.0007800253748428077,0.007368356478400529,0.0006500182571471669,0.009009543340653181,0.03659855956211686,0.007368356920778751,4.342332124710083
6,pg,score_function,0.016998406887675326,0.2513121496886015,0.03366552270017564,0.0009480693787184968,0.10573847126215696,0.5230564698576927,-0.18431061917605499,-0.004574701373106412,0.017271290664211847,0.0007505781407720254,0.019523893114334594,0.04874937065566579,0.01727129092614632,9.034821112950643,0.020689248479902743,0.25810946226119996,0.030688469484448432,0.0008539550282876008,0.11306920945644379,0.3275256633758545,0.0001712472760118544,0.0010752385249361395,0.01616020519286394,0.0009355493471957743,0.01930038183927536,0.06941106095910073,0.01616020519286394,7.460092782974243
7,pg,score_function,0.01751364752029379,0.2536005216340224,0.03249362933759888,0.0011903970981800664,0.13407389478137097,0.5773133635520935,-0.17539763202269873,-0.004685152450595827,0.020249342856307823,0.0007527636395631513,0.022380169209403295,0.0496839297702536,0.020249343224956345,9.166596124569574,0.018930451571941377,0.23053276240825654,0.03185539245605469,0.000361585515565821,0.15053647458553315,0.3902951657772064,0.0003492893069051206,0.0011948276543989778,0.019165227934718133,0.0013840940489899367,0.022188207693398,0.06304086595773697,0.019165228120982647,6.5949671268463135
8,pg,score_function,0.016807764613380034,0.25402185196677846,0.03177757801798483,0.0007616342853265697,0.16578860580921173,0.625060518582662,-0.11899616353912279,-0.002889195927612794,0.026430689632737387,0.0008386187667686803,0.02889207238331437,0.0572339139568309,0.026430690302125488,9.839694072802862,0.01883709616959095,0.27502168118953707,0.02898162677884102,0.0008788723675024812,0.18392575681209564,0.4418458342552185,0.0004782314645126462,-4.807868972420692e-05,0.027087485790252684,0.0010147498222067952,0.03034742660820484,0.07632211670279503,0.027087485790252684,9.475110900402068
9,pg,score_function,0.0181653329054825,0.31866978481411934,0.027810275088995695,0.0016006942220959293,0.18794965309401354,0.6600558931628863,-0.12088130383441846,-0.003743276172220552,0.023050214668425422,0.0006871220642400052,0.02509786586354797,0.04740528471302241,0.023050215017671388,8.639878501494726,0.01492596259340644,0.32928518056869505,0.025972887128591537,0.0006859832557893242,0.18745157420635222,0.4726763904094696,0.0004384967964142561,-0.0014903968840371817,0.023949422873556614,0.0007740793051198124,0.026758884266018867,0.06316105797886848,0.023949423618614674,7.622604531049729
10,pg,score_function,0.01962364847228552,0.33852754284938175,0.026227964864422876,0.0012188885280816446,0.18048935383558273,0.6710278391838074,-0.11661944755663474,0.0004152235123910941,0.026443050116843853,0.0008245995334921948,0.02877281982606898,0.05493426613975316,0.026443050213856623,10.170222088694572,0.016375679522752762,0.3040858507156372,0.026146024465560913,0.0009076165573787875,0.17575159668922424,0.4574897050857544,0.0002402200479991734,-0.0012354152277112007,0.01731565613299608,0.0007930390653200448,0.019999426417052747,0.0467548094689846,0.01731565557420254,5.402659130096436
