fold,epoch,model_variant,pg_estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_mean_expected_cost,train_total_predicted_cost,train_batch_budget,train_deterministic_cost,train_budget_fraction,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_avg_allocation_cost,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_mean_expected_cost,val_total_predicted_cost,val_batch_budget,val_deterministic_cost,val_budget_fraction,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_avg_allocation_cost,val_grad_score_norm
1,1,pg,backward,0.02812395625832406,0.25488648970018735,0.03160345063290813,0.0004282377739483226,0.003661947634430941,0.2266326905651526,-0.21400768919424576,0.14030813324180516,35.62491651014848,1.5484228205274453,1.5182010009884834,0.042405268918335716,-0.0034794943666466597,0.003134145771830597,0.000556572259070394,0.006044868139063262,0.0550350060432472,0.0031341457850596107,1.525562191551382,38.046527158130296,0.025170136243104935,0.3410407950480779,0.025497407652437687,0.000998014739404122,0.02265327579031388,0.10743935406208038,-0.06557353337605794,0.20815044889847437,48.79947090148926,1.3937983562548955,1.385318527619044,0.027095017446059553,-0.0003272714384365827,0.0009111234952191202,0.00026787976336587843,0.0021894037587723383,0.035199652736385666,0.0009111235097710354,1.3564584106206894,15.301903049151102
1,2,pg,backward,0.02204780267890204,0.40620452842929144,0.02404567209834402,0.00123047087717251,0.03969188804992221,0.33991314606233075,-0.26050626012411987,0.25801206921989267,65.60573560541326,3.633476371114904,3.596553163094954,0.05448249014734325,-0.0019978693453595042,0.009193854575807398,0.0008130156413906,0.01283350889571011,0.0707234199243513,0.009193854533474554,3.591863664713773,48.004122560674496,0.018513949898382027,0.44768402973810834,0.021539868786931038,0.0017990271929496278,0.054755772153536476,0.1529974639415741,-0.04852654536565145,0.30138304829597473,70.72718747456868,2.9692610998948417,2.93094177916646,0.03857006105124991,-0.0030259188012375184,0.0029492241616632477,0.00035148975196837756,0.004941930654846753,0.04937066215400895,0.002949224115582183,2.9279703410963216,25.983119890093803
1,3,pg,backward,0.013669861480593681,0.5126404938372698,0.02098624323579398,0.0013224851586115124,0.05204600756141273,0.37859054451639,-0.27290559289130295,0.3414751629937779,86.84602494673295,4.254353034902703,4.213176829571074,0.0491233810908081,-0.007316381866324015,0.010461710128848526,0.0007154036138672382,0.01366910056094639,0.06348417307758196,0.010461710318023424,4.203774517232722,41.706182804974645,0.018212569411844015,0.5631891489028931,0.018841186227897804,0.0019431498949415982,0.05775253598888715,0.17111427088578543,-0.05805614093939463,0.38829609751701355,91.12072118123372,4.239627619584401,4.193752085169156,0.04595845770046228,-0.0006286174369355043,0.0041911105217877775,0.0004810022316329802,0.006864222465083003,0.057942710972080626,0.004191110604248631,4.175436874230702,30.878405769666035
1,4,pg,backward,0.0049991854889826345,0.608854120427912,0.018944388086145573,0.0014367465780444697,0.04657823524691842,0.37577689506790857,-0.27912274680354376,0.41013484786857257,104.38846241344105,5.517239188606089,5.472708973017606,0.05279911437896401,-0.01394520239608193,0.011735333500175991,0.0008448238765016537,0.015063918603118509,0.06971388225528327,0.011735333627174523,5.462414527481252,44.62751603126526,0.011227672298749289,0.6106178462505341,0.01722873964657386,0.0022212642361409962,0.0409624899427096,0.14564184347788492,-0.0663908024628957,0.4134976069132487,97.07274119059245,4.961950421333313,4.904116193453471,0.05471266541109266,-0.006001067444837342,0.004115929904704292,0.0006560920543658236,0.007164917886257172,0.07032986295719941,0.004115929885301739,4.903866529464722,33.265171686808266
1,5,pg,backward,0.014693974728950045,0.6226855082945391,0.017595414580269295,0.0021288508459375325,0.03910112076184966,0.4045638861981305,-0.32111009684475983,0.4208251603625037,107.12725275213069,4.110564928163182,4.050947106697342,0.03853705387883654,-0.002901439660821449,0.010039161179024219,0.0007557193391469561,0.01252430445641618,0.05565645393322815,0.010039161422438074,4.055315937508237,33.05175811594183,0.008565035338203112,0.6216690142949423,0.016012011251101892,0.0029671527251290777,0.04674717721839746,0.15374897420406342,-0.061649138728777565,0.4296242445707321,100.91456604003906,5.643582195043564,5.613124221563339,0.05273601123761073,-0.007446975980807717,0.004385654533204312,0.0004888969003028857,0.007553550841597219,0.07142795467128356,0.004385654542905589,5.5783378680547075,38.83284831047058
1,6,pg,backward,0.014004283584654331,0.6459741754965349,0.016569142145189373,0.0021716841160510244,0.04445650496266105,0.41297583146528766,-0.3184870860793374,0.44502776725725696,113.2307173989036,4.6226763251152905,4.564281674948606,0.04081669040813024,-0.0025648586981167846,0.011128404082476416,0.0007425948927200145,0.01364174957217818,0.059600752566687086,0.011128404087768022,4.565472745082595,33.773258751088925,0.005552672936270635,0.6515007317066193,0.01512692216783762,0.0029989094279396036,0.05446539384623369,0.1737976372241974,-0.06202611327171326,0.4618537326653798,108.44674619038899,6.065154731273651,6.025623202323914,0.05271178040493777,-0.009574249415891245,0.005654215541047354,0.0006088907005808627,0.008960890777719518,0.07404514153798421,0.005654215735072891,5.994115491708119,40.71218498547872
1,7,pg,backward,8.612092245708813e-05,0.6537418771873821,0.01579033333638852,0.0020548018907323817,0.06478379751470956,0.44718391515991907,-0.2857798947529359,0.46869543330235913,119.297757582231,6.1281395202333275,6.067816502668641,0.05121646277673699,-0.015704212551513178,0.016031116353009234,0.0008996005199151114,0.019209457317959856,0.07657772095196626,0.01603111634771763,6.075077799233523,42.97959915074435,0.009107562558104595,0.6262168983618418,0.014731429051607847,0.0038258562757012746,0.0857191892961661,0.22339542706807455,-0.03390399614969889,0.46896779040495556,110.15187708536784,4.8321278889973955,4.782585660616557,0.0435203597817512,-0.005623866435295592,0.007510032271966338,0.0005714901684162518,0.01027628080919385,0.06804253409306209,0.007510032465991874,4.770057102044423,33.25688362121582
1,8,pg,backward,0.01049712721512399,0.6394291845234957,0.015262663703073154,0.0025427543580669658,0.08208950304172256,0.4600906114686619,-0.27460353753783484,0.46744154529138043,119.00542241876775,7.136682248251005,7.091370135545731,0.05995977034160008,-0.004765536593781276,0.021422876182689586,0.0008738045421936972,0.024961706600151956,0.09567522325299004,0.02142287582286041,7.0866833234375175,47.22363085096533,0.015644890256226063,0.6252849102020264,0.014104668671886126,0.004745409746343891,0.08709241077303886,0.23279395202795664,-0.0256626158952713,0.4676809360583623,109.8834940592448,7.110219677289327,7.075613538424174,0.06613080241823567,0.0015402209634582202,0.012343420026202997,0.0008053165899279217,0.01631048632164796,0.10615451633930206,0.012343420181423426,7.053836663564046,46.71931266784668
1,9,pg,backward,0.014252178434451873,0.6301598711447283,0.014561426783488556,0.003964222828389294,0.0763863894072446,0.5009712942621924,-0.34317900375886395,0.46053572405468335,117.22889189286666,5.916109976443377,5.876385352828286,0.0508408386547513,-0.00030924846545200455,0.020179620425386183,0.0009143452969676053,0.023525077701461585,0.09205052798444574,0.02017962046771903,5.877983683889562,44.6873574256897,0.013861108183239898,0.6423396666844686,0.013595678067455689,0.00516325724311173,0.04872191635270914,0.1869791199763616,-0.07359251628319423,0.4575144052505493,107.47167332967122,6.491704960664113,6.456260323524475,0.06268129167509794,0.00026542980534334976,0.0072911882113354904,0.0008274179611665508,0.011075169197283685,0.10382812314977248,0.007291188754606992,6.44632750749588,43.58270772298177
1,10,pg,backward,0.004137013022872535,0.6551705436273054,0.014371204909614542,0.0035030937975865195,0.029723294798962095,0.44931372051889246,-0.407719068906524,0.4515252018516714,114.9352070201527,4.810876667499542,4.7662267928773705,0.04186337292498816,-0.010234192003157328,0.014197168935259635,0.0008082894227382811,0.017163832777772437,0.0800527607683431,0.014197169422087345,4.773873161185872,40.077989925037734,0.016676504397764802,0.6659602522850037,0.013254398790498575,0.004997667934124668,0.02367933529118697,0.1578721652428309,-0.1154557466506958,0.4606524060169856,108.1956558227539,8.188596884409586,8.138128439585367,0.07650163050166724,0.0034221060729275146,0.005713693021486203,0.0007093916307591522,0.010360252344980836,0.12345486258467038,0.005713693137901525,8.144843975702921,55.5782995223999
