epoch,model_variant,estimator,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_base_objective_mean,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_grad_score_norm,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_base_objective_mean,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_grad_score_norm
1,pg,backward,0.02650981574940185,0.15983431600034237,0.05708727908010284,0.00023721461591924564,-0.0005802087956302179,0.19867039627085128,-0.1837646747007966,-0.003219897019638059,0.002994997988328881,0.0006641109436410867,0.006277970513716961,0.055543306128432356,0.0029949980538124996,42.40043325225512,0.027486307173967363,0.22579826712608336,0.047507957369089124,0.0003310363254058757,0.00778384106233716,0.06937037110328674,-0.033606228232383725,0.0020771465089637784,0.0007482383865863085,0.0003772082913201302,0.002534261834807694,0.044411059468984604,0.0007482383749447763,20.02018678188324
2,pg,backward,0.022906079461487632,0.29509131237864494,0.04596459586173296,0.0004670513291102907,0.033306735257307686,0.3743473043044408,-0.2646843660622835,-0.002411475346889347,0.010725759920508912,0.0008812595042400062,0.013967492777737789,0.05910303369940569,0.010725759755587205,43.01140679915746,0.02699982896447182,0.30727940797805786,0.042196620255708694,0.0010618286109774998,0.05841527804732323,0.15886067748069763,-0.01404518485069275,0.0005923757329583168,0.004094237228855491,0.0006176738446811214,0.006106863240711391,0.045853366330266,0.0040942371939308945,20.912897658348083
3,pg,backward,0.019816097260142367,0.33981015905737877,0.04173613712191582,0.001017788434188353,0.07013225307067235,0.42447682097554207,-0.24881370489796004,-0.0061409136445339145,0.010667554282311661,0.000816673368414437,0.013027171764406376,0.04337827651761472,0.010667554340519322,31.677220553159714,0.023731288127601148,0.31466702222824094,0.04035568833351135,0.0009234192109033757,0.08312532305717468,0.20653451085090638,7.781386375427247e-06,-0.0010636517079547047,0.007728606648743153,0.0006685547821689397,0.010869171563535928,0.06316105872392655,0.007728606648743153,38.59752614498139
4,pg,backward,0.021694572875276208,0.32866409172614414,0.04100964839259783,0.0003196328865821367,0.0800437865157922,0.44251619651913643,-0.22452400314311186,-0.00040841553224405896,0.013086157239740714,0.0007488542451028479,0.015625861497634713,0.04917464731261134,0.01308615724944199,34.29185366630554,0.00529029406607151,0.33471131324768066,0.038544248789548874,0.0013283594402309974,0.07625200897455216,0.18982938528060914,-0.007141190022230149,-0.020623626979067923,0.008930514194071293,0.0007291551737580448,0.013012639619410038,0.08257212340831757,0.008930514380335808,44.723822712898254
5,pg,backward,0.02376458568808933,0.3493297000726064,0.03799689964701732,0.0014164213812932758,0.08263212535530329,0.4307723293701808,-0.23643401948114237,-0.002315971469215583,0.013161587111729508,0.0007243446458839268,0.015686570152562734,0.04819808520066241,0.013161587199041,33.022151251633964,0.0244572713971138,0.2834568530321121,0.03863558769226074,0.0007202698362107185,0.08125752806663514,0.20634739995002746,-0.0032975625246763228,0.001538127614185214,0.004746471904218197,0.0005825945787364617,0.006480632605962456,0.036598559468984604,0.004746472195256502,18.639828383922577
6,pg,backward,0.014552168470496932,0.2708684888978799,0.039873482349018254,0.0007103472262031119,0.08833874048044284,0.4562080651521683,-0.21193580267330012,-0.00893630892096553,0.014388893270127786,0.0007591785424665431,0.016784973500762135,0.04874937026761472,0.014388893556315452,31.68787021438281,0.023598609119653703,0.24281080365180968,0.03857997953891754,0.000430723417957779,0.09687762111425399,0.24979140758514404,-3.8976408541202544e-05,0.0021550023928284647,0.011457680072635413,0.0008650207135360688,0.015105386264622211,0.06941106244921684,0.011457680352032184,40.03863537311554
7,pg,backward,0.01270637863005201,0.253058522939682,0.03988176460067431,0.0006612709867350001,0.11179936025291681,0.5036140146354834,-0.19063825036088625,-0.01054085868721207,0.017000381795999903,0.0008574385307535218,0.01950844891446953,0.049683929731448494,0.017000382106440764,33.56617361307144,0.027053815126419068,0.2137465626001358,0.04003952071070671,7.316067600129372e-05,0.12886974811553956,0.3208708167076111,0.003048788942396641,0.006668251426890493,0.014510999992489814,0.0011504315887577831,0.017854006215929984,0.06304086595773697,0.01451100017875433,34.42541494369507
8,pg,backward,0.017757658769066136,0.23500930642088255,0.04023296292871237,0.0008188037933323974,0.13522492380191883,0.554987316330274,-0.1490421493848165,-0.006452842120779678,0.021925154307003442,0.0008481411095999647,0.02438066399190575,0.05723391364639004,0.021925154239094507,32.60447869698206,0.021697021275758743,0.21211716830730437,0.039160928875207904,0.00022049951803637668,0.13340076059103012,0.3370818555355072,0.0025481246411800385,0.0010140600614249706,0.018258121237158774,0.0011516958824358881,0.02247130759060383,0.07632211744785308,0.018258121609687806,40.071352529525754
9,pg,backward,0.017700251036634047,0.26560044040282565,0.03838551448037227,0.0007321167904521531,0.15212543308734894,0.5684211427966753,-0.19933309964835644,-0.005153090392317002,0.018998091904601704,0.0006653752279817127,0.02120937245975559,0.047405284247361124,0.018998092176237453,29.53667323788007,0.02398154027760029,0.2861553251743317,0.03549248799681663,0.00022442724293796345,0.17153940200805665,0.385860812664032,0.0038113142363727093,0.005113160982728004,0.018145796656608582,0.000777797371847555,0.021595043875277043,0.0631610594689846,0.01814579628407955,40.76290476322174
10,pg,backward,0.010159862305348119,0.32056035722295445,0.03450189142798384,0.0009131129336298708,0.17480619872609773,0.6165443795422713,-0.1732869523887833,-0.011656647800312689,0.024377562779894408,0.000785708904004423,0.026771404596123222,0.054934266062142946,0.02437756335712038,31.491742312908173,-0.0011264832690358161,0.32950322031974794,0.032683410495519635,0.00012805757596652257,0.19224928319454193,0.4420104086399078,0.003997059538960457,-0.01810847674496472,0.016040368750691415,0.000806605548132211,0.018779914639890195,0.046754810214042666,0.01604036968201399,33.92028008699417
