fold,best_epoch,train_mse,train_mae,val_mse,val_mae
1,18.0,0.009606651961803436,0.07659433037042618,0.010433687828481197,0.08052688837051392
2,12.0,0.010046020150184631,0.07846790552139282,0.01080660056322813,0.08182264864444733
3,19.0,0.009447756223380566,0.07602737098932266,0.011089785024523735,0.0834469273686409
4,16.0,0.009380453266203403,0.07595761120319366,0.012008157558739185,0.08518870174884796
5,9.0,0.010184564627707005,0.07912363111972809,0.011035295203328133,0.0815080776810646
