epoch,model_variant,train_loss,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_score,train_max_score,train_min_score,train_incremental_objective_mean,train_mean_rs_allocation,train_budget_fraction,train_batch_budget,val_loss,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_score,val_max_score,val_min_score,val_incremental_objective_mean,val_mean_rs_allocation,val_budget_fraction,val_batch_budget
1,rs,0.034851747138115265,0.2898422069847584,0.043943189550191164,0.0004326694005753288,0.06491972652778107,0.3549856496974826,-0.17100496838490167,0.011254789295586912,0.055543306361263,0.055103810564563226,13.958333333333334,0.02221897430717945,0.4452336609363556,0.031414858624339105,0.0004060000777826644,0.13512351214885712,0.3290371119976044,0.007155401073396206,0.011225884687155486,0.04441105835139751,0.039803800438950473,9.6
2,rs,0.005791901766012113,0.4449119915564855,0.024720892310142517,0.001805901842478382,0.1564893207202355,0.6291984878480434,-0.10557344435558964,0.02795849952963181,0.05910303338896483,0.05879015700907051,15.0,0.0026459602639079096,0.3600051462650299,0.023169830441474915,0.0008938815968576819,0.21395314037799834,0.6313777923583984,0.0005501321138581261,0.024993278179317714,0.045853365957736966,0.047636136184910124,8.2
3,rs,0.00858634989708662,0.343940619379282,0.022943564302598436,0.0032479153669259984,0.26539631312092143,0.8468568250536919,-0.03149234771505386,0.03059679102928688,0.04337827628478408,0.0433886975010383,10.583333333333334,-0.017699755355715753,0.3366506099700928,0.0226863794028759,0.0009882446669507773,0.2744194447994232,0.8168299078941346,0.000298697424295824,0.04532735869288444,0.06316105797886848,0.05673792543951097,14.4
4,rs,-0.012656568549573421,0.2980266660451889,0.023647969588637352,0.0008000725800256051,0.3513328284025192,0.9251295899351438,-0.019843310935660458,0.04030490106864212,0.04917464770066241,0.048864109924930475,12.458333333333334,-0.04091590866446495,0.30076647400856016,0.02416752278804779,0.00048493219719603076,0.40659636855125425,0.8947380781173706,0.001117866748245433,0.06750809252262116,0.08257211744785309,0.08055227173781329,17.6
5,rs,-0.0075263108204429345,0.2897609081119299,0.02457609532090525,0.001981446446279733,0.4133862952391307,0.953114703297615,0.0002543747262582959,0.04200963885523379,0.04819808558871349,0.048665766332005776,12.208333333333334,-0.00401177741587162,0.2017059415578842,0.02585400529205799,0.0003291960667411331,0.47633023262023927,0.9285391688346862,0.001294077734928578,0.03151176343671978,0.03659855797886848,0.036290765403511574,7.6
6,rs,-0.012108837914032241,0.24244139778117338,0.025895396635557216,0.0010375538767071941,0.46917691578467685,0.9595118587215742,0.0008802553523613218,0.04319200373720378,0.04874936987956365,0.04840357186438038,11.958333333333334,-0.03564067706465721,0.2644008964300156,0.024002352356910707,0.00015043242274259683,0.46469707489013673,0.9368428230285645,0.0009553108422551305,0.06039519309997558,0.06941105797886848,0.06457961922886418,16.0
7,rs,-0.011541952999929586,0.2245843280106783,0.026447156832243007,0.0012786652372938079,0.4913218344251315,0.9644930909077326,0.0002987483649121714,0.04438243590993807,0.049683930507550635,0.049678147120595345,12.458333333333334,-0.027818021923303606,0.21905280351638795,0.025476639345288276,0.00040737794241749723,0.5048230886459351,0.9405480146408081,0.0006276182364672422,0.055331550538539886,0.06304086819291115,0.06662807972005881,12.6
8,rs,-0.02227769241047402,0.23014017877479395,0.026385167536015313,0.0005150255827270911,0.4959481197098891,0.9632823318243027,0.00017485185314095966,0.05123798813049992,0.057233914034441113,0.05707895528675224,14.0,-0.038346241787076,0.24209383130073547,0.025147964432835578,0.0007434785843348557,0.5196122050285339,0.9460260391235351,0.0008865904703270644,0.06721159815788269,0.07632211744785308,0.07479029408931105,16.0
9,rs,-0.01231592750021567,0.25382919733723003,0.02479887497611344,0.0011431929943531334,0.49919920911391574,0.9686624308427175,0.0004600141085878325,0.04283076697417224,0.04740528529509902,0.0476516510584735,11.875,-0.028850557282567024,0.24244734644889832,0.0242494598031044,0.0006288531294558197,0.48362712264060975,0.9474532008171082,0.0004719430493423715,0.05624428391456604,0.0631610594689846,0.056512678738829814,14.4
10,rs,-0.018622974244256813,0.21230289029578367,0.02663616688611607,0.0008042663849157824,0.49749771505594254,0.965431866546472,0.0002904140819737222,0.04928047277887041,0.054934266566609345,0.055099746003833217,13.541666666666666,-0.013985783979296684,0.19159938991069794,0.02595313936471939,0.00033544823943429944,0.5252819657325745,0.9446653962135315,0.0010188645392190665,0.04161616489291191,0.0467548094689846,0.04419809020800103,10.2
11,rs,-0.0184209846969073,0.23987125605344772,0.026009552646428347,0.000587238523621636,0.5086567923426628,0.9671981856226921,0.0003105686907171427,0.04736672951063762,0.05242985646085193,0.05240564997736027,13.291666666666666,-0.01821861695498228,0.23868646323680878,0.024514082446694375,0.00032153739157365636,0.4934458196163177,0.9439802050590516,0.0005982009461149573,0.04434038549661636,0.04987981114536524,0.04730702613667191,11.0
12,rs,-0.02172645414248109,0.24022290048499903,0.025478914845734835,0.0008220526165696462,0.5026544667780399,0.9680819685260454,0.00038360409477415186,0.051315632629363485,0.056661626615095884,0.056763701048644144,14.375,-0.014827419072389603,0.23212261795997619,0.024155838042497636,0.000820342251972761,0.4879466414451599,0.9487022161483765,0.0005468401504913345,0.043084968160837886,0.04831731021404266,0.04364880042882517,10.6
13,rs,-0.020419703253234427,0.26814862340688705,0.023825669117892783,0.0010028397157218667,0.48765024294455844,0.9688444286584854,-9.521347298383868e-05,0.04925957084439384,0.054403982047612466,0.054438301224928876,13.666666666666666,-0.019715544208884238,0.260181525349617,0.023407912999391555,0.00046452179449261164,0.4693279445171356,0.9505792737007142,0.0004927223781123757,0.045446066185832024,0.05132211595773697,0.050485556235375796,9.6
14,rs,-0.017231032834388316,0.26281775906682014,0.023744438619663317,0.0008661644146836048,0.47353517015775043,0.969217985868454,0.00021091674777077665,0.04530629383710524,0.05007245465336988,0.05007436590429485,12.166666666666666,-0.0389988549053669,0.24086188077926635,0.02428862266242504,0.00039473955184803343,0.5104990720748901,0.9495453119277955,0.000831327261403203,0.06526117622852326,0.0731971174478531,0.07029438645304922,15.2
15,rs,-0.015838579973205924,0.2526355503747861,0.023841559266050655,0.0007415386016873526,0.48635954409837723,0.9660805687308311,0.00013956161728856387,0.04338783149917921,0.04803532536607236,0.04763351709638044,12.166666666666666,-0.009190559014678001,0.24650619328022003,0.023141999915242194,0.0006101470906287431,0.48620112538337706,0.949169373512268,0.0007903999940026551,0.03538329442963004,0.03972355872392654,0.04252803480181751,8.4
16,rs,-0.031783786175462105,0.305433576926589,0.023150286559636395,0.0010506653905224539,0.4711834490299225,0.970459058880806,0.00033440014794905437,0.06018739986272218,0.06653225965177019,0.06668466345666713,16.25,-0.030274314060807227,0.2739533752202988,0.023141325265169144,0.0014595839824323776,0.47541053891181945,0.9545990824699402,0.0004756478883791715,0.06071356013417244,0.06784856021404266,0.0708255707648901,15.6
17,rs,-0.022368032950907946,0.22943306465943655,0.02537750351863603,0.001002021879410601,0.5041809094448885,0.971255953113238,0.00018406862576133184,0.05275564574791739,0.058005712615946926,0.057922638666509506,14.458333333333334,-0.004500400647521019,0.21595674753189087,0.023518841713666916,0.0012774060829542576,0.4890904724597931,0.9541475296020507,0.0007314628106541932,0.03440627194941044,0.038161057978868484,0.04064044750478442,8.0
18,rs,-0.019158003696550924,0.26781339943408966,0.02290226425975561,0.0012246937995895972,0.4819168833394845,0.9731935684879621,0.00043297633449886536,0.04818373683762426,0.05291813790487746,0.05339203394213606,13.416666666666666,-0.02288828156888485,0.2516529977321625,0.022818205878138542,0.0013525290931283962,0.480742996931076,0.9544702887535095,0.0006997764547122642,0.05246913284063339,0.05847355835139752,0.055203010475163496,13.2
19,rs,-0.009415698586963117,0.23358053527772427,0.023482736743365724,0.0010946177012935248,0.4858470397690932,0.9682350779573122,0.0003454986654105596,0.038371524191461504,0.04233870996783177,0.042306357407575164,10.708333333333334,-0.01934781055897474,0.20189003944396972,0.02446153201162815,0.00034622343321188964,0.5242177426815033,0.942906665802002,0.0010391343384981155,0.04554045982658863,0.051322116144001485,0.04870785756302491,9.6
20,rs,-0.02151281964809944,0.2444452860703071,0.02369537716731429,0.00147666909496517,0.49718765790263814,0.9651820560296377,0.000559582934329228,0.0525915430043824,0.05847299324038128,0.05873419733643916,14.708333333333334,-0.018953660875558852,0.21337416172027587,0.02397094517946243,5.35386026967899e-05,0.5031473100185394,0.949700903892517,0.0005016175040509552,0.04319229926913977,0.048317310959100725,0.04432423053380246,10.6
21,rs,-0.014342249060670534,0.2132362692306439,0.02498984841319422,0.001025146048126165,0.50987458974123,0.9701646442214648,0.0006667604705702009,0.04445782766561024,0.049053890320161976,0.0488507081532169,12.166666666666666,-0.015712132677435875,0.22334005534648896,0.023700075596570967,9.129327445407398e-05,0.510993766784668,0.9544872999191284,0.0009007497108541429,0.03986867498606443,0.04429086595773697,0.04703702576333517,7.8
22,rs,-0.016745271316419046,0.26291974758108455,0.022962197273348767,0.0007817022543033699,0.47584112485249835,0.9680347740650177,0.00045476224386220565,0.04361597933651259,0.04819808496783177,0.04857281544785005,12.208333333333334,-0.018981266021728515,0.24628219306468963,0.022907256707549097,0.00012713785599771654,0.49605599641799925,0.9492739081382752,0.0007607707986608148,0.04252421241253614,0.047536057978868486,0.04563396489668331,10.4
