epoch,train_loss,train_mse_loss,train_fairness_penalty,train_policy_success_mean,train_mean_score,train_max_score,train_min_score,train_pg_surrogate_loss,train_perturbed_objective_mean,train_perturbed_objective_std,train_avg_allocation_mean,train_avg_allocation_objective_mean,train_grad_score_norm,val_loss,val_mse_loss,val_fairness_penalty,val_policy_success_mean,val_mean_score,val_max_score,val_min_score,val_pg_surrogate_loss,val_perturbed_objective_mean,val_perturbed_objective_std,val_avg_allocation_mean,val_avg_allocation_objective_mean,val_grad_score_norm
1,-0.005657802054884087,0.05562592608233293,9.545592834570016e-05,0.28850555792450905,0.007194917619926855,0.2568665761500597,-0.2593548173705737,-0.005753258003096562,0.015089664763460556,0.001153558914666064,0.19898248401780924,0.015089665248524398,14.099546174208323,-0.000885140907485038,0.05601314455270767,0.0005338348069926724,0.3817629337310791,0.03702464029192924,0.1502032220363617,-0.04616102576255798,-0.0014189757348503917,0.010944030061364175,0.0008411881339270621,0.19783653914928437,0.010944030433893203,7.559949588775635
2,-0.010086744005093351,0.056165702641010284,0.0004645381148312329,0.494917872051398,0.07262506537760298,0.4276043300827344,-0.27839330583810806,-0.010551282187710362,0.03919553500600159,0.0013258127122147318,0.19898248463869095,0.03919553655820588,15.937328974405924,-0.004175386374117807,0.05871292874217034,0.00039165894140751333,0.5093972325325012,0.104361891746521,0.2250429153442383,-0.006238135695457459,-0.004567045299336314,0.026302824914455413,0.0013291911920532585,0.1978365421295166,0.026302823796868324,8.257424569129943
3,-0.007848607759418277,0.0570759535767138,0.0004349536484147265,0.5118217281997204,0.07528888791178663,0.4484523224333922,-0.33666057884693146,-0.00828356140118558,0.04496768908575177,0.0014278744565672241,0.1989824833969275,0.0449676892409722,17.715636154015858,-0.00324260713532567,0.05650951862335205,0.0008053566272678836,0.45729859471321105,0.05242791101336479,0.18736109733581544,-0.05425699055194855,-0.00404796376824379,0.0168416790664196,0.0012285083881579339,0.19783653914928437,0.016841679438948633,10.916532945632934
4,-0.009365603919112194,0.05694706070547303,0.0003088707233397751,0.5085290310283502,0.00954899491140774,0.4460776709020138,-0.44130835806330043,-0.009674474616379788,0.03704673439885179,0.0014552564413558382,0.19898248463869095,0.03704673455407222,17.951047003269196,-0.0028885702835395933,0.058261672407388686,0.0007679068934521638,0.48800705671310424,-0.01229363176971674,0.1301324784755707,-0.12865335941314698,-0.0036564771551638843,0.004006964759901166,0.0015249572694301604,0.1978365421295166,0.004006964759901166,10.166851687431336
5,-0.008933005844786143,0.05727988885094722,0.0004946804547595699,0.4919290840625763,-0.02234911433576296,0.492353913684686,-0.48757069433728856,-0.009427686435325692,0.034903684708600245,0.0013337849377421662,0.19898248525957266,0.0349036855623126,16.394823849201202,-0.003124299552291632,0.05964590609073639,0.0010920479202468415,0.46584551930427553,-0.040859869495034215,0.12003559470176697,-0.17989299893379213,-0.004216347413603216,0.0002204635093221441,0.0012441088212653995,0.19783653914928437,0.00022046344820410014,10.969057703018189
6,-0.008668756192491855,0.05947038810700178,0.0004626225087112819,0.5559459328651428,-0.05176792906907698,0.5095827132463455,-0.5736559815704823,-0.009131378571813306,0.03459958708845079,0.0013784367765765637,0.1989824858804544,0.03459958708845079,16.770825743675232,0.0002803322160616517,0.06199389323592186,0.002166175626854283,0.5697281956672668,-0.04838325195014477,0.137786340713501,-0.21990786790847777,-0.0018858433468267322,0.002292838698485866,0.0013593284413218499,0.19783653914928437,0.0022928386693820356,11.311223411560059
7,-0.011403407930629328,0.06326160083214442,0.0005543311792083708,0.590529645482699,-0.03712961195075574,0.5713998787105083,-0.5900636675457159,-0.011957738897763193,0.04360577402015527,0.0012490060277438413,0.19898248463869095,0.043605773554493986,15.290515094995499,-0.0024207514245063065,0.06394225582480431,0.0015112509034224785,0.5600738525390625,-0.035772370919585225,0.17938376665115358,-0.2516350746154785,-0.003932002326473593,0.01164967194199562,0.0015528759220615029,0.1978365421295166,0.01164967119693756,9.179819345474243
8,-0.010436357813887298,0.05943717792009314,0.00048027889699161125,0.5628681952754656,-0.0412644874304533,0.63935936242342,-0.6277023156483968,-0.010916636839586621,0.048914606062074505,0.0012758721325856943,0.19898248463869095,0.048914606760566436,15.558340022961298,-0.011183459870517254,0.05983505472540855,0.003683172352148745,0.5298471331596375,-0.015422063227742911,0.2523633658885956,-0.26286913752555846,-0.014866632223129273,0.024655083566904067,0.0020980057073757053,0.1978365421295166,0.02465508468449116,13.672771549224853
9,-0.008168636870929427,0.0573904764217635,0.00040931804336056626,0.4980314373970032,-0.01988142915070057,0.697702926894029,-0.6280462915698687,-0.00857795497480159,0.05945380590856075,0.001269428619707469,0.1989824833969275,0.059453805753340326,15.323181311289469,-0.005265231803059578,0.06072954535484314,0.0026805154309840875,0.48664705753326415,-0.0011397497728466988,0.31509763598442075,-0.31237814426422117,-0.00794574711471796,0.035720694065094,0.002260117093101144,0.1978365361690521,0.03572069332003593,16.634208250045777
10,-0.0079659977927804,0.06013783331339558,0.00044880393342576025,0.5340462860961755,0.014441786712268367,0.7774815584222475,-0.6292516638835272,-0.008414801637021204,0.07395014554883043,0.0013030389527557418,0.19898248463869095,0.0739501469458143,16.41879438360532,0.002532254052857752,0.0627669021487236,0.005574545763010974,0.554450523853302,0.011310976417735218,0.4027955591678619,-0.374000746011734,-0.003042291663587093,0.05322198867797852,0.0019371420610696077,0.19783653914928437,0.053221989423036575,14.666197991371154
