epoch,train_loss,train_incremental_objective_mean,train_policy_success_mean,train_mse_loss,train_fairness_penalty,train_mean_soft_allocation,train_mean_score,train_max_score,train_min_score,train_mean_expected_cost,train_total_predicted_cost,train_batch_budget,train_realized_soft_cost,train_budget_fraction,val_loss,val_incremental_objective_mean,val_policy_success_mean,val_mse_loss,val_fairness_penalty,val_mean_soft_allocation,val_mean_score,val_max_score,val_min_score,val_mean_expected_cost,val_total_predicted_cost,val_batch_budget,val_realized_soft_cost,val_budget_fraction
1,0.0469920935574919,0.0017655419699925308,0.26671936983863515,0.046569892360518374,0.0004375486616486531,0.012696836201939732,0.04025170561120225,0.3090782177944978,-0.21294313917557398,0.18587860418483615,44.693676034609474,2.50297705642879,0.2576009116601199,0.055103810564563226,0.030985509604215623,0.007271385844796896,0.4381192445755005,0.03642242178320885,0.0003668947814730927,0.0717705637216568,0.08203668892383575,0.1938780963420868,0.004664707183837891,0.3351381361484528,70.02290573120118,3.1439769968390463,2.8348184868693354,0.039803800438950473
2,0.0374212086511155,0.0022627646612818353,0.48474592715501785,0.03291544357004265,0.001353705955001061,0.011877121617241452,0.08718856548269589,0.4634640005727609,-0.17544768936932087,0.39182980731129646,96.92570304870605,5.9160242937505245,0.2797418525442481,0.05879015700907051,0.023012781888246535,0.009620517957955599,0.4815391480922699,0.031246864423155784,0.00027728714949262214,0.0807197444140911,0.09173203259706497,0.2709427773952484,0.0033148512244224547,0.3980637788772583,82.87678489685058,3.4325927019119264,2.3830951690673827,0.047636136184910124
3,0.035214420330400266,0.0017063134922257934,0.46119026218851406,0.02934873732738197,0.001514399277539269,0.010462253082854053,0.09957072387139003,0.5077541023492813,-0.17460343148559332,0.3919828062256177,97.3583566347758,4.122327879071236,0.15243178559467196,0.0433886975010383,0.018938810937106608,0.011712999315932393,0.4299426019191742,0.029008999466896057,0.0003285622209318717,0.09837409593164921,0.09667244404554368,0.29942715764045713,0.0017388492822647094,0.36124629974365235,74.96779766082764,4.984391069412231,3.3214351169764997,0.05673792543951097
4,0.03321231661053995,0.0015217405252769822,0.4305817559361458,0.026589117866630357,0.001628987839239926,0.009960130012283722,0.10322777181863785,0.5336978249251842,-0.14752697261671224,0.3792654636005561,93.86245759328206,4.755521764357884,0.1318628154695034,0.048864109924930475,0.012549674324691295,0.017132938280701636,0.4163711667060852,0.027744906768202782,0.0003875411712215282,0.1462150752544403,0.11459703147411346,0.34683077931404116,0.002160156890749931,0.36264787912368773,75.21655654907227,6.326606750488281,3.828785514831543,0.08055227173781329
5,0.0356234231342872,0.0010638540943546104,0.40244801342487335,0.025112158230816323,0.0023150238492254025,0.010232444542149702,0.11899387557059526,0.5679205929239591,-0.12015638407319784,0.3704523841540019,91.87139288584392,4.583950190494458,0.08228795170240726,0.048665766332005776,0.018521868251264097,0.00877273923251778,0.374847286939621,0.025549569353461265,0.00034900766077043953,0.09000558052212,0.12036801725625992,0.38164729475975034,0.0016375555656850337,0.34545881748199464,71.48493576049805,2.680851525068283,1.5876006484031677,0.036290765403511574
6,0.03564793810558816,0.0006491016529253102,0.35257282853126526,0.024746955294782918,0.0023100168629355267,0.006493837048765272,0.1331636110941569,0.5852849346896013,-0.08165532633817445,0.3409966429074605,84.03196326891582,4.020557673027118,0.026694747066358104,0.04840357186438038,0.009774593450129033,0.01682748943567276,0.3571616351604462,0.02457471676170826,0.0004054732620716095,0.1753763884305954,0.13580891489982605,0.43059183955192565,0.0013911458197981119,0.3389038801193237,70.00942611694336,5.267440131306648,3.23664767742157,0.06457961922886418
7,0.030025361571460962,0.0007098431544060683,0.3258994333446026,0.023642340985437233,0.0014185727563168864,0.007182746388328572,0.1441206969320774,0.6359226057926813,-0.10833985826078181,0.3350524604320526,82.85377224286397,4.165518177052339,0.028519491403130814,0.049678147120595345,0.006726409494876862,0.019340797886252405,0.34693973064422606,0.02331191226840019,0.0005510590007361315,0.23795643746852874,0.1503932923078537,0.4877233266830444,0.0012174425879493355,0.3449813902378082,71.0518585205078,4.332260322570801,2.72464172244072,0.06662807972005881
8,0.032590209040790796,0.0004530450120607081,0.3407607761522134,0.022231041453778744,0.002162442438796116,0.006701538184036811,0.16177879149715105,0.6788337305188179,-0.047168784794242434,0.3656804710626602,90.95319763819377,5.1083696000278,0.01734093884685232,0.05707895528675224,0.006801662407815457,0.020910388603806496,0.34494014978408816,0.022836922109127043,0.0009750257729251643,0.27696213722229,0.16119964718818663,0.539999109506607,0.0008443498751148582,0.35449840426445006,72.90334968566894,5.477888107299805,3.063484823703766,0.07479029408931105
9,0.02863938353645305,0.0002683998598816591,0.30256978794932365,0.022971924860030413,0.001187171777265424,0.005584779059669624,0.18098160376151404,0.7189923773209254,-0.053383144472415246,0.3465827517211437,85.98273944854736,4.160961831609408,0.0065605566451267805,0.0476516510584735,0.01126067154109478,0.01650788076221943,0.31241844594478607,0.022880974784493448,0.0009775154845556243,0.23564575985074043,0.17987846434116364,0.5848010897636413,0.0007223900873214006,0.3455010950565338,71.31807022094726,4.847105743736028,2.7020451094955207,0.056512678738829814
10,0.030446133964384597,0.0002555297637627518,0.3014907439549764,0.022682408879821498,0.001603850932876109,0.005126362336644282,0.197436997666955,0.7465383584300677,-0.030588054156396538,0.3613867250581582,89.94441715876262,4.9165265175203485,0.005909502533540945,0.055099746003833217,0.01102599799633026,0.014667226001620293,0.34546238780021665,0.021699222177267073,0.0007988003611444583,0.2640363872051239,0.18082149922847748,0.6031331300735474,0.0006911924690939486,0.3816856205463409,79.04149379730225,3.8047452688217165,2.0723671495914457,0.04419809020800103
11,0.03498927170100311,0.0007338079632669784,0.3442128983636697,0.02104651361393432,0.0029353133226616515,0.006602281782155235,0.19480318203568459,0.7502304886778196,-0.015650299416544538,0.400735791772604,99.13961776097615,5.329995655765136,0.012009638306456813,0.05240564997736027,0.012495975010097027,0.013541252724826336,0.33237093687057495,0.02164188176393509,0.0008790692412731005,0.2627822577953339,0.1965007722377777,0.6245192646980285,0.0007315991795621812,0.3811631679534912,78.99111213684083,4.374029225111007,1.8461859583854676,0.04730702613667191
12,0.03406545768181483,0.00036243451071034843,0.33397919312119484,0.021198969955245655,0.0026457844082112083,0.005398438079282641,0.20113784447312355,0.7460278694828352,-0.024782755033811554,0.39236679921547574,97.12250328063965,5.6540505439043045,0.0075184838824498,0.056763701048644144,0.010764858312904834,0.01310493228957057,0.3418395757675171,0.022259153425693512,0.0003221274233283111,0.24113983809947967,0.19569550454616547,0.6136689901351928,0.001233763142954558,0.38482107520103453,79.69898700714111,3.9117140233516694,1.7861572563648225,0.04364880042882517
13,0.028706315904855728,0.0004760909817681143,0.33193928375840187,0.021567219790692132,0.0015230373425888881,0.005577799961126099,0.21061150915920734,0.7547463725010554,-0.04425969183406172,0.39583328862984973,98.48028961817424,5.409172356128693,0.006799467263893651,0.054438301224928876,0.009157939814031124,0.014950889069586993,0.3397642493247986,0.02228546850383282,0.00036467212335082876,0.26834864616394044,0.20812785923480986,0.6183030009269714,0.001387474744115025,0.38986021280288696,80.79660224914551,3.573875343799591,1.7584503889083862,0.050485556235375796
14,0.02521497756242752,0.0003985280411598069,0.3353431622187297,0.02137634662600855,0.0008474317778919271,0.006078965826115261,0.21666000907619795,0.772939903040727,-0.04844651811678583,0.4051273912191391,100.12511412302653,4.87739776323239,0.008028053203209614,0.05007436590429485,0.006403935141861439,0.01729907151311636,0.3434220731258392,0.021660415828227995,0.00040851812636901743,0.30248188972473145,0.21315696239471435,0.6370875597000122,0.0011418080423027277,0.3966139078140259,82.2296064376831,5.836292088031769,2.0809353649616242,0.07029438645304922
15,0.027383385536571343,0.0002804068237765023,0.33587536712487537,0.020692640993123252,0.0013942302771473198,0.005253432939449946,0.22123249806463718,0.7794859459002813,-0.021632921302322455,0.41066591814160347,101.79969390233357,5.015002766003211,0.004498381123388147,0.04763351709638044,0.013377572409808636,0.009760886756703257,0.33308348059654236,0.021316497772932052,0.00036439224024888974,0.23624726831912995,0.2179652690887451,0.646247148513794,0.0009254557196982204,0.3983864367008209,82.64802627563476,3.2340774476528167,1.0107759147882462,0.04252803480181751
16,0.02986131119541824,0.0002548842402726829,0.32846231882770854,0.02047163317911327,0.001928912444981427,0.00443833563864852,0.2274951326350371,0.7882422283291817,-0.02168312900175806,0.40859728679060936,101.29874316851298,6.628290281941493,0.0034149036079422026,0.06668466345666713,0.009054555743932723,0.01356451641768217,0.3354048192501068,0.021164792031049727,0.00029085606010994527,0.2776853919029236,0.2237779587507248,0.6541513323783874,0.0009162043977994471,0.4015372395515442,83.39481506347656,6.31611613035202,1.5904065161943435,0.0708255707648901
17,0.02449438356173535,0.0005369828395487275,0.33086006840070087,0.02055347803980112,0.0008955777315122759,0.004747020313516259,0.23426510517795882,0.7926952342192332,-0.025050748703506542,0.41681137929360074,103.1362555027008,6.00444229443868,0.008693409833843665,0.057922638666509506,0.013706258684396743,0.008893925184383988,0.3349614679813385,0.021120162680745125,0.00029600429161291686,0.22861642241477967,0.22823623120784758,0.6671263098716735,0.0008736088522709907,0.40952969789505006,85.03715515136719,3.300161373615265,0.9133742600679398,0.04064044750478442
