user_id,pair_rank_score,target
1,5.87435,9
2,5.567073,9
3,8.18501,13
4,7.7656384,1
5,5.217496,5
6,5.7929173,2
7,6.322304,6
8,5.53851,5
9,4.3579926,5
10,7.280656,2
11,4.0788507,4
12,4.980693,6
13,6.787893,2
14,2.7551844,12
15,0.46763664,0
16,2.3611646,7
17,2.2496417,2
18,7.5001593,11
19,6.164651,13
20,3.236658,0
21,7.0196257,13
22,5.0943694,1
23,5.607769,11
24,6.013741,10
25,4.0881715,1
26,2.2283397,0
27,4.342788,11
28,4.4630275,3
29,0.46763664,0
30,3.2714248,7
31,6.218376,7
32,0.46763664,2
33,3.4396975,3
34,4.7179246,10
35,2.2496417,0
36,4.06538,11
37,4.5867577,5
38,3.7157915,9
39,3.8503683,5
40,5.795079,10
41,5.5745893,6
42,4.761533,20
43,4.9640713,7
44,5.737612,8
45,5.1644626,5
46,2.2496417,0
47,4.2516384,10
48,2.2496417,4
49,3.3997002,0
50,6.1611123,0
51,2.2496417,3
52,6.7474065,12
53,3.7607486,1
54,2.368231,10
55,6.205052,1
56,4.0567975,0
57,6.7225194,13
58,3.7781174,3
59,4.3653913,2
60,2.2496417,5
61,5.059098,4
62,4.230077,8
63,3.4725957,0
64,6.3924794,17
65,4.266295,2
66,6.616228,0
67,4.2842493,5
68,3.5087328,8
69,6.6536627,8
70,4.7581654,5
71,0.46763664,0
72,4.3381205,4
73,4.884625,0
74,5.772464,4
75,6.0396485,5
76,5.329033,5
77,4.0744853,5
78,4.8528967,3
79,5.9563117,8
80,5.0389695,3
81,7.071849,2
82,2.2100496,11
83,3.2585053,5
84,7.422928,11
85,5.9726114,6
86,3.8701942,1
87,2.2496417,0
88,1.5762271,0
89,2.7250514,0
90,6.441012,10
91,6.557826,4
92,7.8051386,11
93,7.36933,9
94,2.2496417,0
95,4.3127456,2
96,6.1712017,3
97,2.620428,7
98,4.0621576,3
99,3.7586396,3
100,1.6247025,0
101,5.8232994,0
102,0.46763664,0
103,2.2496417,8
104,3.5981271,6
105,5.2782173,2
106,5.5807776,12
107,6.784853,0
108,5.890376,4
109,2.8671176,6
110,4.51005,11
111,3.2022798,7
112,3.6880052,0
113,3.669522,2
114,0.46763664,2
115,5.691169,4
116,5.402378,6
117,1.7701999,0
118,2.2394464,1
119,8.21928,10
120,7.265957,1
121,7.011745,3
122,3.2427597,4
123,3.3581774,11
124,4.1629868,1
125,5.276302,2
126,5.124804,0
127,1.6445395,0
128,6.930137,4
129,5.2003837,6
130,2.04618,0
131,0.46763664,9
132,0.46763664,0
133,4.8820877,2
134,3.8395083,3
135,6.7283645,7
136,6.418849,5
137,0.46763664,0
138,1.3346674,0
139,7.615572,15
140,4.3331223,5
141,6.3680263,10
142,4.737587,1
143,4.3221726,3
144,0.46763664,0
145,4.1508822,7
146,2.2496417,0
147,1.2917687,0
148,1.278598,4
149,5.85478,8
150,5.127712,6
151,1.3039705,8
152,0.98045474,0
153,3.0492957,5
154,6.4764695,10
155,1.1659598,0
156,0.46763664,0
157,6.105572,10
158,5.4388227,2
159,7.0216436,14
160,5.557672,7
161,0.46763664,0
162,4.8619027,4
163,4.8526335,8
164,4.4734173,2
165,5.171528,4
166,1.8396424,2
167,5.3156466,9
168,6.3165193,3
169,6.6094055,10
170,4.6204348,1
171,3.3200147,4
172,4.5813856,8
173,5.3852196,3
174,4.982987,5
175,1.1417458,0
176,4.7978992,6
177,2.2496417,1
178,5.757043,2
179,3.8823297,6
180,7.7728863,11
181,5.9015756,6
182,4.804259,6
183,3.2803252,5
184,5.7077518,4
185,3.7897756,7
186,1.7493216,2
187,0.46763664,0
188,3.2466202,5
189,5.271351,10
190,2.2496417,0
191,6.0540147,4
192,5.517103,0
193,5.1560216,9
194,0.46763664,2
195,4.0335126,10
