user_id,pto_pred,target
1,0.9430285,3
2,4.6261487,10
3,6.695587,11
4,4.838781,1
5,7.756716,3
6,0.4702112,0
7,7.151617,6
8,0.4702112,4
9,4.443379,3
10,6.790333,9
11,5.26552,1
12,7.0825605,13
13,8.073001,19
14,0.4702112,0
15,6.3816533,9
16,6.4776254,6
17,3.7196124,0
18,4.3820167,0
19,5.68792,10
20,5.8250146,4
21,2.2376254,3
22,4.8283978,5
23,3.4363,1
24,3.5920417,5
25,3.975273,1
26,3.1973855,0
27,5.0009203,5
28,7.1524987,3
29,4.751686,1
30,2.3878357,1
31,0.4702112,0
32,4.231664,5
33,5.2057796,2
34,3.4708855,3
35,4.8679304,2
36,6.466396,6
37,5.933756,15
38,4.0719357,1
39,0.4702112,0
40,6.4054513,1
41,0.4702112,0
42,5.870836,0
43,5.4797134,4
44,1.6641669,2
45,6.588557,6
46,7.2449136,12
47,0.56399405,0
48,5.1307817,0
49,2.7061627,1
50,4.353217,0
51,8.992797,2
52,5.498059,0
53,5.7179856,11
54,6.311115,5
55,2.3878357,0
56,2.6272767,1
57,1.642064,0
58,7.660193,3
59,4.2635446,7
60,3.603551,0
61,4.1970315,0
62,5.7338557,0
63,5.16387,1
64,5.278518,3
65,3.8139741,1
66,0.4702112,2
67,3.3452473,7
68,5.0091896,2
69,0.4702112,0
70,4.496661,2
71,5.9660316,9
72,5.230963,5
73,2.8690674,12
74,6.5356627,5
75,5.707358,6
76,0.7067969,0
77,4.802791,2
78,4.798832,4
79,0.4702112,0
80,8.463329,6
81,3.7686436,3
82,0.4702112,0
83,2.5637195,6
84,1.2159476,0
85,3.634788,0
86,7.3041515,11
87,7.483372,9
88,3.4712222,1
89,3.8393157,2
90,4.263162,8
91,7.163639,12
92,3.3890212,2
93,5.2462664,5
94,4.12505,9
95,4.207001,0
96,3.0074728,5
97,4.1520786,0
98,4.0619864,7
99,2.3878357,3
100,7.59866,10
101,5.559348,5
102,3.3381925,5
103,7.7243695,11
104,4.3148665,3
105,3.4297512,4
106,7.0382605,3
107,5.205395,12
108,0.4702112,0
109,8.217551,10
110,4.370486,0
111,6.624031,5
112,0.4702112,0
113,6.217733,4
114,4.6361732,5
115,7.6240335,12
116,6.8658156,12
117,6.1627316,11
118,2.1241846,0
119,6.0097194,3
120,5.679276,4
121,3.8834844,6
122,5.953964,0
123,2.3878357,0
124,8.753508,7
125,5.271456,6
126,0.4702112,1
127,3.6888015,1
128,3.0448744,10
129,4.5365267,5
130,7.6837053,13
131,0.4702112,0
132,4.182625,1
133,1.5196934,0
134,0.37915015,1
135,3.6664824,3
136,0.4702112,0
137,2.5777934,1
138,6.0198236,0
139,7.8654733,5
140,5.2050996,2
141,7.8345637,11
142,8.650832,13
143,7.857968,14
144,0.56399405,6
145,6.2001815,6
146,6.395799,9
147,6.3835816,11
148,0.9786884,4
149,4.815375,7
150,0.4702112,0
151,6.9096556,13
152,6.8793387,9
153,5.79415,9
154,2.8712165,8
155,8.17518,12
156,4.515037,1
157,4.3425145,0
158,7.1096673,6
159,1.7746574,0
160,7.05263,2
161,5.0109696,7
162,1.2245541,0
163,0.4702112,0
164,6.1770387,2
165,5.2119966,0
166,6.4928803,6
167,2.0511255,1
168,0.89299893,2
169,4.7427526,0
170,6.0080523,9
171,9.063223,7
172,5.65173,4
173,5.6139026,1
174,4.9411297,2
175,6.801404,7
176,8.524553,8
177,8.24136,7
178,3.6822464,3
179,9.121499,10
180,6.138726,6
181,3.391596,0
182,2.8524635,3
183,0.40893286,5
184,2.3878357,1
185,0.4702112,0
186,0.4702112,5
187,6.597609,5
188,2.3878357,3
189,6.1557946,5
190,8.171471,10
191,7.1005435,12
192,3.9310455,3
193,4.112364,8
194,5.8366785,4
195,3.5452113,0
196,5.4560666,2
197,6.1095333,12
198,5.49831,4
199,0.4702112,0
200,4.094234,1
201,2.3878357,0
202,5.600155,1
203,0.973535,0
204,5.8297963,13
205,3.180247,0
206,1.8186191,1
207,4.044925,3
208,6.2238927,14
209,6.3057556,6
210,6.7145863,14
211,7.0689645,2
212,4.321483,0
213,0.77286786,0
214,5.058224,10
215,0.4702112,0
216,4.8391848,4
217,8.626121,10
218,2.258929,9
219,1.9284886,0
220,1.4184927,0
221,4.2771516,2
222,2.3878357,2
223,8.15199,10
224,5.2534537,4
225,6.594126,8
226,4.2874436,6
227,2.9231122,0
228,7.528016,8
229,3.9548538,0
230,1.494468,0
231,5.092526,7
232,5.7061915,7
233,0.56399405,0
234,5.819549,7
235,0.4702112,0
236,6.3307643,3
237,4.775994,3
238,2.285505,0
239,5.3703184,7
240,3.0976455,5
241,0.5287162,1
242,8.057595,10
243,6.0597425,6
244,5.283194,0
245,8.30638,2
246,7.512007,9
247,9.133855,10
248,3.4766684,5
249,5.458767,2
250,6.00952,0
251,5.4118056,5
252,4.3957896,9
253,1.3405288,0
254,4.457333,5
255,3.723396,6
256,6.994145,7
257,4.5071816,4
258,4.2625155,7
259,9.665748,10
260,3.763304,8
261,7.4324374,6
262,4.0544086,6
263,1.3405288,1
264,5.368448,0
265,5.6687636,13
266,2.3878357,1
267,5.615268,4
268,5.937223,5
269,1.0544251,0
270,5.0455575,3
271,4.8873544,8
272,1.1236496,1
273,7.4629874,4
274,4.785262,3
275,6.9812074,13
276,4.2704673,8
277,0.4702112,0
278,4.653356,0
279,2.9354026,9
280,5.71917,2
281,3.2124696,0
282,2.3878357,0
283,0.4702112,0
284,2.094971,2
285,7.287854,5
286,5.2895308,7
287,0.4702112,0
288,4.3234553,4
289,4.7852373,5
290,4.188844,3
291,5.044769,1
292,2.3878357,12
293,5.7037134,2
294,1.083113,1
295,8.723739,4
296,6.6976023,0
297,5.327461,4
298,3.9477587,8
299,4.314171,7
300,0.4702112,0
301,6.3588824,4
302,6.6265664,13
303,6.930244,10
304,4.045609,6
305,1.2159476,0
306,1.964223,4
307,0.8643825,0
308,6.2632747,12
309,0.89299893,0
310,2.3878357,0
311,0.4702112,3
312,5.95569,7
313,3.1012847,2
314,5.1882634,6
315,0.4702112,0
316,6.105471,2
317,2.7069805,0
318,9.014131,6
319,0.4702112,0
320,4.7513328,2
321,6.3483796,14
322,6.342406,12
323,3.822168,4
324,5.476783,0
325,6.3071322,9
326,1.6491606,0
327,2.3878357,0
328,1.5954312,0
329,7.3035197,8
330,8.9983015,4
331,4.2137227,1
332,3.942154,8
333,11.125643,15
334,6.181583,4
335,6.827619,9
336,1.0665604,7
337,4.8294187,3
338,6.615126,19
339,4.9706655,5
340,6.7412453,8
341,5.137484,5
342,2.9913118,0
343,6.7493167,12
344,5.704996,11
345,2.2648487,1
